timestamp,scrip_code,company_name,quarter,filename,status,note
2026-03-26T14:41:14.989371,500209,INFOSYS LTD.,December 2024,,failed,
2026-03-26T14:41:16.188749,500209,INFOSYS LTD.,December 2024,,failed,
2026-03-26T14:41:17.133990,500209,INFOSYS LTD.,September 2024,,failed,
2026-03-26T14:41:42.083132,500034,BAJAJ FINANCE LIMITED,December 2025,,failed,
2026-03-26T14:41:43.232431,500034,BAJAJ FINANCE LIMITED,September 2025,,failed,
2026-03-26T14:41:44.434186,500034,BAJAJ FINANCE LIMITED,June 2025,,failed,
2026-03-26T14:41:45.601692,500034,BAJAJ FINANCE LIMITED,March 2025,,failed,
2026-03-26T14:41:46.802543,500034,BAJAJ FINANCE LIMITED,December 2024,,failed,
2026-03-26T14:41:48.255242,500034,BAJAJ FINANCE LIMITED,December 2024,,failed,
2026-03-26T14:41:49.146352,500034,BAJAJ FINANCE LIMITED,September 2024,,failed,
2026-03-26T14:42:13.756851,500696,HINDUSTAN UNILEVER LTD.,December 2025,,failed,
2026-03-26T14:42:14.966383,500696,HINDUSTAN UNILEVER LTD.,September 2025,,failed,
2026-03-26T14:42:16.197249,500696,HINDUSTAN UNILEVER LTD.,June 2025,,failed,
2026-03-26T14:42:17.386553,500696,HINDUSTAN UNILEVER LTD.,March 2025,,failed,
2026-03-26T14:42:18.560102,500696,HINDUSTAN UNILEVER LTD.,December 2024,,failed,
2026-03-26T14:42:19.706192,500696,HINDUSTAN UNILEVER LTD.,December 2024,,failed,
2026-03-26T14:42:20.609259,500696,HINDUSTAN UNILEVER LTD.,September 2024,,failed,
2026-03-26T14:42:49.558455,543526,LIFE INSURANCE CORPORATION OF,December 2025,,failed,
2026-03-26T14:42:51.047845,543526,LIFE INSURANCE CORPORATION OF,December 2025,,failed,
2026-03-26T14:42:52.264498,543526,LIFE INSURANCE CORPORATION OF,December 2025,,failed,
2026-03-26T14:42:53.100733,543526,LIFE INSURANCE CORPORATION OF,December 2025,,failed,
2026-03-26T14:42:54.024247,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:42:55.518085,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:42:56.720060,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:42:57.915490,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:42:59.088809,543526,LIFE INSURANCE CORPORATION OF,June 2025,,failed,
2026-03-26T14:43:00.284630,543526,LIFE INSURANCE CORPORATION OF,June 2025,,failed,
2026-03-26T14:43:01.469426,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:02.360599,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:03.262115,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:04.188597,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:05.138934,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:06.076381,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:06.978072,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:07.896677,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:08.823263,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:10.288487,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:11.209457,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:12.176460,543526,LIFE INSURANCE CORPORATION OF,September 2025,,failed,
2026-03-26T14:43:13.115531,543526,LIFE INSURANCE CORPORATION OF,June 2025,,failed,
