timestamp,bse_code,company_name,status,n_total,n_reg30,note
2026-07-19T17:33:55.873247,531531,HATSUN AGRO PRODUCT LIMITED,done,362,92,
2026-07-19T17:34:04.017018,500790,Nestle India Limited,done,532,204,
2026-07-19T17:34:16.495810,500800,Tata Consumer Products Limited,done,774,294,
2026-07-19T17:34:21.818101,515055,ANANT RAJ LIMITED,done,379,170,
2026-07-19T17:34:32.636074,532929,Brigade Enterprises Limited,done,694,478,
2026-07-19T17:34:47.781800,503100,THE PHOENIX MILLS LIMITED,done,828,595,
2026-07-19T17:34:54.734776,543330,DEVYANI INTERNATIONAL LIMITED,done,399,246,
2026-07-19T17:35:05.854987,543720,KFIN TECHNOLOGIES LIMITED,done,627,273,
2026-07-19T17:35:09.821743,541557,Fine Organic Industries Limited,done,286,126,
2026-07-19T17:35:17.738719,500165,Kansai Nerolac Paints Limited,done,430,199,
2026-07-19T17:35:24.553008,542812,Gujarat Fluorochemicals Limited,done,449,172,
2026-07-19T17:35:43.383979,500710,Akzo Nobel India Limited,done,789,192,
2026-07-19T17:35:50.352607,500252,LMW LIMITED,done,373,152,
2026-07-19T17:36:12.928922,533293,KIRLOSKAR OIL ENGINES LIMITED,done,887,459,
2026-07-19T17:36:26.170800,500002,ABB India Limited,done,456,251,
2026-07-19T17:36:41.986953,543299,SHYAM METALICS AND ENERGY LIMITED,done,566,313,
2026-07-19T17:36:57.828887,504614,Sarda Energy & Minerals Limited,done,484,134,
2026-07-19T17:37:11.454711,532286,JINDAL STEEL & POWER LIMITED,done,574,244,
2026-07-19T17:37:23.004814,534816,INDUS TOWERS LIMITED,done,489,212,
2026-07-19T17:37:40.643792,521064,TRIDENT LIMITED,done,577,228,
2026-07-19T17:37:45.961666,532181,GUJARAT MINERALS DEVELOPMENT CORPORATION LIMITED,done,229,93,
2026-07-19T17:37:57.719411,500163,GODFREY PHILLIPS INDIA LIMITED,done,385,137,
2026-07-19T17:38:09.508438,543064,SUVEN PHARMACEUTICALS LIMITED,done,480,223,
2026-07-19T17:38:21.674978,532939,RELIANCE POWER LIMITED,done,504,134,
2026-07-19T17:38:36.562910,513683,NLC India Limited,done,648,327,
2026-07-19T17:38:45.418496,542066,Adani Total Gas Limited,done,369,129,
2026-07-19T17:39:01.053440,533098,NHPC LIMITED,done,514,155,
