BSE Code,FY,n_director_changes,n_rating_changes,auditor_change_any,reg30_covered
540173,FY23,7,0,0,1
540173,FY24,0,6,0,1
540173,FY25,3,4,0,1
540596,FY23,1,0,0,1
540596,FY24,0,1,0,1
540596,FY25,0,0,0,1
540678,FY23,7,2,1,1
540678,FY24,0,0,0,1
540678,FY25,6,0,0,1
540902,FY23,1,0,1,1
540902,FY24,0,2,0,1
540902,FY25,8,0,0,1
540975,FY23,5,0,0,1
540975,FY24,2,0,0,1
540975,FY25,14,4,0,1
541557,FY23,22,0,1,1
541557,FY24,0,1,0,1
541557,FY25,0,0,0,1
541956,FY23,13,0,0,1
541956,FY24,9,0,1,1
541956,FY25,19,1,1,1
542011,FY23,8,0,1,1
542011,FY24,1,0,1,1
542011,FY25,5,0,1,1
542066,FY23,0,0,0,1
542066,FY24,5,0,1,1
542066,FY25,4,1,0,1
542141,FY23,0,0,0,1
542141,FY24,7,0,0,1
542141,FY25,2,0,0,1
542752,FY23,5,0,0,1
542752,FY24,2,0,1,1
542752,FY25,10,0,0,1
542812,FY23,2,0,0,1
542812,FY24,0,1,0,1
542812,FY25,2,0,1,1
543064,FY23,0,4,0,1
543064,FY24,5,1,0,1
543064,FY25,4,2,1,1
543187,FY23,0,0,0,1
543187,FY24,4,0,0,1
543187,FY25,0,0,0,1
543235,FY23,1,1,0,1
543235,FY24,4,2,0,1
543235,FY25,0,1,0,1
543238,FY23,2,0,0,1
543238,FY24,6,0,0,1
543238,FY25,6,0,0,1
543245,FY23,2,0,1,1
543245,FY24,2,0,1,1
543245,FY25,5,0,0,1
543257,FY23,0,1,1,1
543257,FY24,4,0,1,1
543257,FY25,13,1,1,1
543276,FY23,4,2,0,1
543276,FY24,5,4,0,1
543276,FY25,0,0,1,1
543299,FY23,22,1,0,1
543299,FY24,8,0,1,1
543299,FY25,1,1,0,1
543300,FY23,0,1,0,1
543300,FY24,0,1,0,1
543300,FY25,3,0,0,1
543320,FY23,1,0,0,1
543320,FY24,0,0,1,1
543320,FY25,1,0,1,1
543330,FY23,4,0,1,1
543330,FY24,3,0,0,1
543330,FY25,2,0,0,1
543334,FY23,0,0,0,1
543334,FY24,4,0,0,1
543334,FY25,0,0,0,1
543415,FY23,2,0,1,1
543415,FY24,0,0,0,1
543415,FY25,0,0,0,1
543530,FY23,1,1,0,1
543530,FY24,0,0,0,1
543530,FY25,0,2,0,1
543573,FY23,1,0,0,1
543573,FY24,1,2,0,1
543573,FY25,0,4,0,1
543654,FY23,1,0,0,1
543654,FY24,0,1,0,1
543654,FY25,2,3,0,1
543663,FY23,0,2,0,1
543663,FY24,0,1,0,1
543663,FY25,7,0,1,1
543720,FY23,0,0,0,1
543720,FY24,4,0,1,1
543720,FY25,3,0,0,1
