BSE Code,Q_FY,id_resig_ct,id_unstated_flag,auditor_change_flag,credit_downgrade_ct
500002,Q1FY23,0,0,0,0
500002,Q1FY24,0,0,0,0
500002,Q1FY25,0,0,0,0
500002,Q2FY23,0,0,0,0
500002,Q2FY24,0,0,0,0
500002,Q2FY25,0,0,0,0
500002,Q3FY23,0,0,0,0
500002,Q3FY24,0,0,0,0
500002,Q3FY25,0,0,0,0
500002,Q4FY23,0,0,0,0
500002,Q4FY24,0,0,0,0
500002,Q4FY25,0,0,0,0
500034,Q1FY23,6,0,0,0
500034,Q1FY24,0,0,0,0
500034,Q1FY25,0,0,1,0
500034,Q2FY23,0,0,0,0
500034,Q2FY24,0,0,0,0
500034,Q2FY25,0,0,0,0
500034,Q3FY23,0,0,0,0
500034,Q3FY24,0,0,0,0
500034,Q3FY25,0,0,0,0
500034,Q4FY23,0,0,0,0
500034,Q4FY24,0,0,0,0
500034,Q4FY25,0,0,0,0
500049,Q1FY23,0,0,0,0
500049,Q1FY24,0,0,0,0
500049,Q1FY25,0,0,0,0
500049,Q2FY23,0,0,0,0
500049,Q2FY24,0,0,0,0
500049,Q2FY25,0,0,0,0
500049,Q3FY23,0,0,0,0
500049,Q3FY24,0,0,1,0
500049,Q3FY25,0,0,1,0
500049,Q4FY23,0,0,0,0
500049,Q4FY24,0,0,0,0
500049,Q4FY25,0,0,0,0
500092,Q1FY23,0,0,0,0
500092,Q1FY24,0,0,0,0
500092,Q1FY25,0,0,1,0
500092,Q2FY23,0,0,0,0
500092,Q2FY24,0,0,0,0
500092,Q2FY25,0,0,0,0
500092,Q3FY23,0,0,0,0
500092,Q3FY24,0,0,0,0
500092,Q3FY25,0,0,0,0
500092,Q4FY23,0,0,0,0
500092,Q4FY24,0,0,0,0
500092,Q4FY25,0,0,0,0
500093,Q1FY23,0,0,0,0
500093,Q1FY24,0,0,1,0
500093,Q1FY25,0,0,0,0
500093,Q2FY23,0,0,0,0
500093,Q2FY24,0,0,0,0
500093,Q2FY25,0,0,0,0
500093,Q3FY23,0,0,0,0
500093,Q3FY24,0,0,0,0
500093,Q3FY25,0,0,0,0
500093,Q4FY23,0,0,0,0
500093,Q4FY24,0,0,0,0
500093,Q4FY25,0,0,0,0
500106,Q1FY23,0,0,0,0
500106,Q1FY24,0,0,0,0
500106,Q1FY25,0,0,0,0
500106,Q2FY23,0,0,0,0
500106,Q2FY24,0,0,1,0
500106,Q2FY25,0,0,1,0
500106,Q3FY23,0,0,0,0
500106,Q3FY24,0,0,0,0
500106,Q3FY25,0,0,0,0
500106,Q4FY23,0,0,0,0
500106,Q4FY24,0,0,0,0
500106,Q4FY25,0,0,0,0
500125,Q1FY23,0,0,1,0
500125,Q1FY24,0,0,0,0
500125,Q1FY25,0,0,0,0
500125,Q2FY23,0,0,0,0
500125,Q2FY24,0,0,0,0
500125,Q2FY25,0,0,0,0
500125,Q3FY23,0,0,0,0
500125,Q3FY24,0,0,0,0
500125,Q3FY25,0,0,0,0
500125,Q4FY23,0,0,0,0
500125,Q4FY24,0,0,0,0
500125,Q4FY25,0,0,0,0
500163,Q1FY23,0,0,1,0
500163,Q1FY24,0,0,0,0
500163,Q1FY25,0,0,0,0
500163,Q2FY23,0,0,0,0
500163,Q2FY24,0,0,0,0
500163,Q2FY25,0,0,0,0
500163,Q3FY23,0,0,0,0
500163,Q3FY24,0,0,0,0
500163,Q3FY25,0,0,0,0
500163,Q4FY23,0,0,0,0
500163,Q4FY24,0,0,0,0
500163,Q4FY25,0,0,0,0
500164,Q1FY23,0,0,1,0
