BSE Code,NSE Symbol,Q_FY,Filing_Date,overlapping,n_est_obs,CAR_m1p1,CAR_m3p3,CAR_m5p5,CAR_m10p10,CAR_0p5,AINDEX,BINDEX,CINDEX,DINDEX,OINDEX,TRINDEX
500027,ATUL,Q4FY23,2023-07-13,False,230,0.01375241494116142,-0.01369001787893558,-0.022591632775885412,-0.05166276979754091,0.012361766609651662,0.6411666666666667,0.4412999999999999,0.4831561546363249,0.0384615384615384,0.7455,0.54495
500027,ATUL,Q1FY24,2023-10-12,False,230,0.0030839263780906238,-0.03270538990093532,-0.04568908342214298,-0.1492894299488,-0.029133924942401156,0.7,0.4551,0.3901589228121704,0.0384615384615384,0.7455,0.66995
500027,ATUL,Q2FY24,2024-01-09,False,230,-0.018173506594887832,-0.007391010681942872,-0.0025925728070778434,-0.002525167359625803,0.0181780025354834,0.7829999999999999,0.3534931034482759,0.3901589228121704,0.0384615384615384,0.7455,0.54495
500027,ATUL,Q3FY24,2024-04-16,False,230,-0.054491801406424255,-0.019533395059572876,-0.04557783819943141,-0.019171064041121046,-0.018955221453853845,0.7445777777777778,0.455803448275862,0.3272133009231953,0.0384615384615384,0.7455,0.66995
500027,ATUL,Q4FY24,2024-07-12,False,230,0.006425351348197191,-0.026833447577342247,-0.03590072560497455,0.00026168532119909965,0.0030582426458019216,0.6861444444444444,0.3617793103448276,0.3363011934861023,0.0384615384615384,0.7455,0.66995
500027,ATUL,Q1FY25,2024-10-10,False,230,0.02494401179122674,0.057362841068791574,0.029734052980072742,0.09572098133689827,0.013937234280818963,0.6951333333333333,0.4432241379310345,0.3,0.0384615384615384,0.7455,0.66995
500027,ATUL,Q2FY25,2025-01-27,False,230,-0.07085546379406481,-0.04013426374979413,-0.029105141322633137,0.02895340535565242,-0.021857829273027575,0.7781333333333333,0.3690827586206897,0.3874799089065913,0.0384615384615384,0.7455,0.54495
500027,ATUL,Q3FY25,2025-04-16,False,230,-0.006569553220161693,0.15502850125704676,0.1555402604433127,0.18696255533228706,0.10531328967042194,0.7781333333333333,0.2594793103448276,0.6065352205598641,0.0384615384615384,0.7455,0.54495
500027,ATUL,Q4FY25,2025-07-10,False,230,-0.02306755422722878,-0.006576524630032974,-0.0007949127537511709,-0.07613157835450564,-0.024518574624567323,0.7400666666666667,0.3044379310344827,0.7261998919518315,0.0384615384615384,0.7455,0.66995
500027,ATUL,Q1FY26,2025-10-14,False,230,-0.05403229272691895,-0.031157599279581907,-0.04285972092287101,-0.08582145055890737,-0.017620968504213432,0.5968222222222223,0.3959586206896551,0.7,0.0384615384615384,0.7455,0.79495
500033,FORCEMOT,Q4FY23,2023-07-13,False,230,0.02143886857696571,-0.048903143699064344,-0.07825334332021087,-0.23800676120816203,-0.07251947475204887,,,0.3557879547390834,,,
500033,FORCEMOT,Q1FY24,2023-10-13,False,230,-0.011882022691544147,-0.0022705172197129346,-0.019742503247382463,-0.03348067274999169,-0.03930741364960276,,,0.3792768172461658,,,
500033,FORCEMOT,Q3FY24,2024-04-12,False,188,-0.012579407815446378,0.012201151831571722,0.29250637913716554,0.34389904676943733,0.13042823896122008,,,0.3792768172461658,,,
500033,FORCEMOT,Q4FY24,2024-07-12,False,188,-0.03036320923207082,-0.08478676249591753,-0.18247921752187485,-0.23938925184396556,-0.10070231498469186,0.4969,0.6915827586206897,0.3792768172461658,0.4076923076923077,0.5742833333333333,0.85645
500033,FORCEMOT,Q1FY25,2024-10-11,False,188,-0.07351072543882176,-0.054834585957167566,-0.1637121425404771,-0.30970097600170843,-0.07347167381524253,0.4897111111111111,0.7943379310344828,0.3636609890468066,0.4076923076923077,0.5742833333333333,0.98145
500033,FORCEMOT,Q2FY25,2025-02-12,False,230,0.07291729440595038,-0.005115845851812259,0.04447881578669041,-0.0013746105267208597,0.060393974398225025,0.5575,0.7735758620689656,0.3629088064335779,0.4076923076923077,0.5742833333333333,0.98145
500033,FORCEMOT,Q3FY25,2025-04-16,False,230,0.007614128755433982,0.09767112106086737,0.0763647286913573,0.18765418200472955,0.06165873469323607,0.4685777777777777,0.7844068965517242,0.6130943284474414,0.4076923076923077,0.5742833333333333,0.85645
500033,FORCEMOT,Q2FY26,2026-01-14,False,230,0.034510013154023376,0.07399052523052893,-0.03254179791337708,-0.033166965011215806,-0.0019175814616115353,0.5281333333333333,0.7470344827586207,0.4885558436877081,0.4076923076923077,0.5742833333333333,0.9429
500034,BAJFINANCE,Q4FY23,2023-07-15,False,230,-0.010531243806720367,0.012826529703510014,-0.01709246527086703,-0.0030758463062593513,0.006778112399862199,0.5557,0.6214413793103448,0.3464762614554106,0.4538461538461539,0.7794500000000001,0.60705
500034,BAJFINANCE,Q1FY24,2023-10-17,False,230,-0.009712139844758041,-0.010331819529632778,0.007267311593970087,0.041649292352141716,-0.01634151690782089,0.5111222222222223,0.6041448275862069,0.3961945978525901,0.4538461538461539,0.7794500000000001,0.7320500000000001
500034,BAJFINANCE,Q2FY24,2024-01-17,False,230,-0.014155624850568434,-0.04710463617645331,-0.03269546128049915,0.015298366319919095,-0.021724522757341574,0.4727,0.6188034482758621,0.3389917280912031,0.4538461538461539,0.7794500000000001,0.48205
500034,BAJFINANCE,Q3FY24,2024-04-20,False,230,0.046936087793030025,0.019010646517740135,-0.07539393052793766,-0.09373703056549273,-0.05180002404046028,0.5896222222222223,0.574248275862069,0.3637231968895333,0.4538461538461539,0.7794500000000001,0.48205
500034,BAJFINANCE,Q4FY24,2024-07-18,False,230,-0.012460032764758296,-0.017883734084107844,-0.03811687928459412,-0.01979590636117571,-0.04739041983647288,0.6116666666666667,0.6386137931034482,0.3935318150171251,0.4538461538461539,0.7794500000000001,0.7320500000000001
500034,BAJFINANCE,Q1FY25,2024-10-19,False,230,-0.019954232875190818,0.03302704322578013,-0.008449226233734768,0.030703246600101177,0.027090942377233165,0.5079333333333333,0.5833620689655172,0.3518058445299352,0.4538461538461539,0.7794500000000001,0.7320500000000001
500034,BAJFINANCE,Q2FY25,2025-02-06,False,230,-0.016450256481039628,-0.014474666925593363,0.0030647364822431605,0.010668062245475646,-0.04451573110306336,0.6283888888888889,0.6203551724137931,0.3495004679773743,0.4538461538461539,0.7794500000000001,0.7320500000000001
500034,BAJFINANCE,Q3FY25,2025-04-27,False,230,-0.02595618911902497,-0.04897562171074868,-0.0466905432814277,0.019134198423509094,-0.03559847810135247,0.6373888888888888,0.6031103448275863,0.6539730539404435,0.4538461538461539,0.7794500000000001,0.48205
500034,BAJFINANCE,Q4FY25,2025-07-28,False,230,-0.08779380572553319,-0.09954012412743692,-0.09874169647276075,-0.1356372821959453,-0.05280619058852314,0.6904666666666667,0.6124206896551724,0.4977217217162589,0.4538461538461539,0.7794500000000001,0.7320500000000001
500034,BAJFINANCE,Q1FY26,2025-10-28,False,230,-0.034711931087904414,-0.06394569934341661,-0.04253901734986985,-0.0589979523943807,-0.03946110972480404,0.5111222222222223,0.4999931034482758,0.490594101753578,0.4538461538461539,0.7794500000000001,0.7320500000000001
500034,BAJFINANCE,Q2FY26,2026-01-24,False,230,-0.0027239651621208186,0.009181543199503372,0.03655576181755069,0.05049986851621902,0.051283721023031845,0.4956666666666666,0.5091896551724138,0.6014589820081297,0.4538461538461539,0.7794500000000001,0.7320500000000001
500040,ABREL,Q4FY23,2023-07-10,False,230,-0.025411009049182903,0.009448270996789975,0.09013522626848278,0.1529401524526371,0.03536296779929135,,,0.3,,,
500040,ABREL,Q1FY24,2023-10-12,False,230,0.04706181660502015,0.09497901940934744,0.12981577838881297,0.10023500310328162,0.015851673087885196,,,0.3,,,
500040,ABREL,Q2FY24,2024-01-17,False,230,-0.09221132432793375,-0.23413100685877786,-0.3165647177085578,-0.12346375017774022,-0.1627248973502048,,,0.3,,,
500040,ABREL,Q3FY24,2024-04-16,False,230,-0.01456120687667698,-0.022384050268543225,0.03877972006886489,0.07807422298365803,0.026508172046538978,,,0.3,,,
500040,ABREL,Q4FY24,2024-07-12,False,230,-0.008848231694022187,0.08389358043142725,0.049755567001633215,0.2173844188156545,0.0594954135382326,,,0.3385294550840799,,,
500040,ABREL,Q1FY25,2024-10-18,False,230,0.028584797729896604,0.020391596224174482,-0.043087757764770446,-0.07759109025334605,-0.09280961252224876,,,0.3465955243532764,,,
500040,ABREL,Q2FY25,2024-10-28,True,230,-0.009410518566133907,0.00757585197381741,-0.10118899244175714,0.0011282550760153345,0.04049715079301956,0.4619555555555555,0.6314034482758621,0.3649760592748311,0.0769230769230769,0.7697166666666667,0.646275
500040,ABREL,Q4FY25,2025-07-24,False,230,-0.04982658780198647,-0.06344281946039472,-0.1062703339190871,-0.04614153030834642,-0.04718336104715139,0.4791111111111111,0.6914862068965517,0.5933477339607997,0.0769230769230769,0.7697166666666667,0.396275
500040,ABREL,Q1FY26,2025-10-24,False,230,0.0602222007949556,0.09411813448094851,0.11130584052865918,0.06237519249625767,0.09620061431581907,0.5273111111111112,0.6826310344827585,0.5,0.0769230769230769,0.7697166666666667,0.521275
500040,ABREL,Q2FY26,2026-01-21,False,230,-0.06238677438355324,-0.11127136012863358,-0.06777635928002104,-0.038957236146005825,-0.0008023423999462351,0.5816888888888889,0.4645206896551724,0.5,0.0769230769230769,0.7697166666666667,0.646275
500042,BASF,Q4FY23,2023-07-17,False,230,-0.0018266543546507845,0.0013827114451358644,0.0024143027347190583,-0.010680943154334752,0.02464998047960462,0.3968222222222222,0.6443758620689656,0.4176775063896453,0.0384615384615384,0.6759499999999999,0.77235
500042,BASF,Q1FY24,2023-10-14,False,230,0.020066842920933338,0.04434410586448838,0.0227420038524655,0.050234005184999625,-0.026422042887092434,0.4061666666666667,0.6509862068965517,0.4179856663764076,0.0384615384615384,0.6759499999999999,0.77235
500042,BASF,Q2FY24,2024-01-05,False,230,-0.0021813995291372493,-0.016748048540303692,-0.048966666138444054,-0.05069757549526248,-0.03393671248205681,0.4061666666666667,0.6736000000000001,0.4184714832792481,0.0384615384615384,0.6759499999999999,0.64735
500042,BASF,Q3FY24,2024-04-11,False,230,-0.027330620698737863,-0.0036549945848360146,0.017926291921482942,0.16324072890438748,-0.04377268903139106,0.4061666666666667,0.6925620689655172,0.4185745821026615,0.0384615384615384,0.6759499999999999,0.52235
500042,BASF,Q4FY24,2024-07-16,False,230,-0.05852171912946821,-0.07418750666874079,-0.0860903974801703,-0.06225184502223318,-0.020075818632979473,0.4133555555555555,0.6890655172413793,0.4410574698347044,0.0384615384615384,0.6759499999999999,0.77235
500042,BASF,Q1FY25,2024-10-17,False,230,-0.07751984781076113,-0.14304044306717656,-0.16693429286190486,-0.12214781411869872,-0.1417902009018396,0.4133555555555555,0.7425172413793104,0.4395377941545528,0.0384615384615384,0.6759499999999999,0.77235
500042,BASF,Q2FY25,2025-02-06,False,230,0.06993209543857619,0.06796406696064211,0.07114648366726985,0.1855759001152946,0.07239564069344955,0.4445888888888888,0.7379137931034483,0.4386127419358641,0.0384615384615384,0.6759499999999999,0.64735
500042,BASF,Q3FY25,2025-04-17,False,230,0.04528601365015089,0.09505164936730451,0.12206816781176538,0.10157162580408935,0.040766367542068284,0.4079666666666667,0.7689482758620689,0.5949349329074387,0.0384615384615384,0.6759499999999999,0.64735
500042,BASF,Q4FY25,2025-07-16,False,230,0.025327439470591094,-0.016653681588436046,-0.012550762880127474,-0.02903469182595556,0.007757486180593163,0.3968222222222222,0.7499034482758621,0.4824682719033348,0.0384615384615384,0.6759499999999999,0.77235
500042,BASF,Q1FY26,2025-10-22,False,230,-0.008051828388097083,-0.03851451427173522,-0.016299596563148225,-0.024288676034603114,-0.02578088083382963,0.3845555555555555,0.7297931034482759,0.4885632989039502,0.0384615384615384,0.6759499999999999,0.77235
500042,BASF,Q2FY26,2025-10-22,True,230,-0.008051828388097083,-0.03851451427173522,-0.016299596563148225,-0.024288676034603114,-0.02578088083382963,0.4133555555555555,0.7355448275862069,0.5743622525113885,0.0384615384615384,0.6759499999999999,0.64735
500043,BATAINDIA,Q4FY23,2023-07-20,False,230,-0.002665696964801469,0.01771193409017902,0.03058435783438351,0.08173244243440941,0.006769518697601948,0.7337666666666668,0.7439965517241379,0.32921110362902,0.1769230769230769,0.62945,0.8247249999999999
500043,BATAINDIA,Q1FY24,2023-10-16,False,230,0.010131830178559134,0.016148608654473033,0.013610680237626023,0.06610400952257375,-0.007520428863479955,0.7467444444444444,0.7532551724137931,0.3618762012276755,0.1769230769230769,0.62945,0.8247249999999999
500043,BATAINDIA,Q2FY24,2024-01-15,False,230,0.01406373832955852,-0.004319811110359246,-0.05465968452206733,-0.014760674113749345,-0.04760395988976099,0.5975555555555556,0.7411103448275862,0.3178161984727429,0.1769230769230769,0.62945,0.6997249999999999
500043,BATAINDIA,Q3FY24,2024-04-19,False,230,-0.0020697239779997323,-0.029207287271572922,-0.002917082031802914,-0.05762758158416462,0.004933318592219491,0.5939555555555556,0.7672103448275862,0.3309060531900276,0.1769230769230769,0.62945,0.6997249999999999
500043,BATAINDIA,Q4FY24,2024-07-19,False,230,-0.00805545332802841,0.02201960739666485,-0.00958576182603018,-0.002713484659359941,0.020961471199662587,0.5939555555555556,0.7430758620689655,0.3900840707224241,0.1769230769230769,0.62945,0.6997249999999999
500043,BATAINDIA,Q1FY25,2024-10-18,False,230,0.018772637499768253,0.019247164504766497,0.031494602626850415,0.08630044113554346,-0.02119352654408329,0.6011444444444444,0.729896551724138,0.3425327757562711,0.1769230769230769,0.62945,0.8247249999999999
500043,BATAINDIA,Q2FY25,2025-02-06,False,230,-0.013510904495635051,0.0021096264423789875,0.08887221267905807,0.024623105004534122,-0.0028649048908356445,0.6718888888888889,0.6728137931034484,0.3425327757562711,0.1769230769230769,0.62945,0.8247249999999999
500043,BATAINDIA,Q3FY25,2025-04-29,False,230,-0.002639741281936504,-0.01728211347699462,0.015959427852358328,0.00480061810564107,0.003595879572722577,0.6130555555555556,0.7427034482758621,0.7462653723850468,0.1769230769230769,0.62945,0.8247249999999999
500043,BATAINDIA,Q4FY25,2025-08-06,False,230,-0.007343493397787462,-0.00832332186499142,-0.09085038388599281,-0.08928250801420563,-0.08670397337302906,0.5746333333333333,0.6892310344827586,0.5003006516340698,0.1769230769230769,0.62945,0.8247249999999999
500043,BATAINDIA,Q1FY26,2025-10-28,False,230,-0.07618256082798795,-0.07922610265086355,-0.06482139524896198,-0.07532308906823144,-0.08262403329586195,0.565288888888889,0.6116137931034483,0.5879378396485572,0.1769230769230769,0.62945,0.8247249999999999
