BSE Code,NSE Symbol,FY,Industry,n_obs,mar_pct,capm_alpha,ff5_alpha,total_vol,idio_vol,downside_vol,roe,AINDEX,BINDEX,CINDEX,COMPOSITE,DINDEX,OINDEX,TRINDEX,Beta_Market,Momentum,Log_MarketCap,DE_Ratio,audit_fees_inr_crore,board_size,board_independence_ratio,board_meeting_count
500002.0,ABB,FY23,Specialty Industrial Machinery,250,0.2803008545714947,0.16245950579802323,1.1040546873637267,0.023099138685929044,0.019781959182148798,0.011739286020967386,0.2089375231302358,-2.107344608107299,0.7598095710099184,2.4059826146307435,0.49447927155288285,0.26699412540495254,0.2442753878144343,-0.37114932320228394,0.673807661245254,0.5379475228959718,27.2770841739662,0.0066991806713757,2.25,,,
500027.0,ATUL,FY23,Specialty Chemicals,250,-0.16314613388609014,-0.17001416946168174,-0.25865414197925857,0.016772094647439346,0.01414998698986963,0.007487869054284734,0.063159664785681,0.8669582012035435,-1.3279018717558337,2.050429051474211,-0.5407068193422807,-1.264249885119523,0.16009401266716566,-0.32442798561590674,0.6057631761006994,-0.2387858294991033,26.035629493269617,0.0111829908934832,3570.0,,,
500033.0,FORCEMOT,FY23,Auto Manufacturers,209,1.1893662165616259,1.0177674758524577,2.0642091651599053,0.03640235515335182,0.03421330017460847,0.013629455700768085,0.17209131140417,,,0.850294649899591,-1.5179291595942785,,,,1.1843308799811392,0.1458450588307158,23.44740532964297,0.5091971861783545,,,,4.0
500034.0,BAJFINANCE,FY23,Credit Services,250,-0.34145902672072204,-0.33108953425291027,0.016045714418858582,0.015586345875875008,0.01324727216498037,0.010043095209381275,0.1884230269501345,-0.32442798561590674,-0.25561826421633266,0.18294814042830515,0.3940442266879647,0.26699412540495254,0.5421440164296353,-0.09910785982289917,1.3367907345547927,-0.1292055127327507,28.86597201944263,3.024847357039416,0.93,,,4.0
500040.0,ABREL,FY23,Real Estate Services,250,0.6628677753697022,0.45237026524195395,0.1653073741051354,0.02894112341509263,0.02567930932815519,0.013482048821039143,0.0126987238448508,,,-0.5407068193422807,-1.9739529178022819,,,,1.042013512237966,-0.2119208780000372,24.964654211442102,0.2725375883751325,1.2,,,
500042.0,BASF,FY23,Specialty Chemicals,250,0.7198532599345191,0.7013962862550406,0.9437675236314969,0.021860443792052764,0.019883404296656693,0.01092641019650132,0.1747386381262602,-2.221519588337837,0.043990118295311145,1.2769698176788649,-0.7130635205548607,-1.264249885119523,-0.32442798561590674,0.27269494694940966,0.5568579606342987,-0.1721251899849501,25.30390290929844,0.0391865777178862,20.5,,,6.0
500043.0,BATAINDIA,FY23,Footwear & Accessories,250,-0.2866359017284944,-0.21277008137119102,-0.16709561219942404,0.01220681076746229,0.010968877333063579,0.006144482402989513,0.1719249482445724,0.44282165759651115,0.7164975001779914,-0.11141114508795975,0.31863936396437514,-0.4007604618510929,-0.6607511271402553,0.8994349076672339,0.859464094707926,-0.2229490784424243,25.898868033651546,0.8666662031274988,0.001266,,,
500049.0,BEL,FY23,Aerospace & Defense,250,0.7322717511917117,0.32996103944262795,0.31017309380467756,0.02460638085518627,0.01700892552130777,0.011581209406211681,0.2440527560458568,0.4067242518713638,1.7568266072519054,0.7393781286389902,1.7469549015612458,0.5807580840085503,0.8353711435721113,0.31286139976011185,0.9055500407465544,0.4534689703559061,27.266112700073748,0.004425165005847,0.34,,,8.0
500067.0,BLUESTARCO,FY23,Building Products & Equipment,250,0.5595078359167612,0.7920830502808248,0.507368605658405,0.022205687225295027,0.02182322342173535,0.011635456235980848,0.1589791922883885,-0.14341186580980653,0.35939683029154834,-1.3742797878564808,0.05055839126599487,-0.5938213929935198,0.4186956208836455,0.9674215661017012,0.3486894854149703,0.3751110363343685,25.66093401945729,0.4974636455867433,14.39,,,
500084.0,CESC,FY23,Utilities - Regulated Electric,250,0.6861081330588429,0.3466377571702956,-0.3013212040214676,0.026603993762521642,0.02114017353017807,0.011791665125772104,0.1202510300865657,-0.03298793293740276,-1.4426368146671515,0.06068145248899459,-0.6001787759898454,-1.9031763053671469,0.606986834803486,0.8198866958893143,0.4857913477121796,-0.0331582904846071,25.109940079436196,1.3072737221560773,5.19,,,
500085.0,CHAMBLFERT,FY23,Agricultural Inputs,250,0.426120765388638,0.1363595204324937,-0.022475359326545485,0.02713010791449268,0.021587321509642945,0.012165592281776631,0.1754026575743619,1.0215001377641872,-0.43072729929545756,0.4830894029164177,1.7954587131451047,0.7671666205857572,2.1073446081072977,0.883080123650455,1.2494815196262796,-0.2606021277709671,25.321550220504665,0.4751482362328826,,,,
500092.0,CRISIL,FY23,Financial Data & Stock Exchanges,250,-0.22921307717325004,-0.06687991581634993,0.33810977547825255,0.016642551582602413,0.01646953130856661,0.009934896973099893,0.3007591606296191,-0.9500137556693217,2.015429661706838,-0.6368945263489849,1.1503493803760079,0.4007604618510929,0.8669582012035435,0.3244279856159066,0.3266523016065098,0.2542344041361329,26.14575085582591,0.0465741805154075,2.72,,,
500093.0,CGPOWER,FY23,Electrical Equipment & Parts,250,0.28020320531239823,0.36423976029996136,0.430788310053103,0.023786905867623644,0.022862459935558924,0.011377022629007503,0.4729207540166499,-1.0986292256666448,-0.5043220460777776,0.020216121092154715,-0.8502946498995912,-0.8045963803603002,0.43072729929545744,-0.5421440164296353,0.881265105106763,0.7467809261966036,26.87432155017448,0.0092431765251241,,,,5.0
500106.0,IFCI,FY23,Credit Services,250,3.868984194990791,3.0846875864257113,0.7042706035935372,0.04604662277897096,0.043616202523895045,0.018807217959608862,0.0228590834314646,-0.22168205125817075,1.7075530935596597,-2.6493567133746767,-0.12158738275048304,0.08254853290411288,-1.7568266072519054,0.37114932320228394,1.1726821641446872,-0.1280000305175771,23.996791991441203,1.5980239913569532,0.23,,,
500113.0,SAIL,FY23,Steel,250,0.16077538130293695,-0.2330357200302507,-0.4611936423254176,0.030884641789754932,0.021139433184154916,0.011296615494857968,0.0537058577732664,-1.0592769170824314,-0.7307820639859633,-2.4059826146307435,-1.0752606139923064,-1.264249885119523,-0.043990118295311006,-0.35939683029154834,1.3882840353292187,-0.0790226093916371,26.523693435156332,0.5621059691849751,40.0,,,11.0
500125.0,EIDPARRY,FY23,Agricultural Inputs,250,0.18422497624507544,0.2113122872885184,-0.3539665691956274,0.022032243768327523,0.020543823214720754,0.011460119521242903,0.1274636064180214,0.5938213929935199,0.8669582012035435,-1.3742797878564808,2.141198120972019,1.1610685209816873,1.139760810192818,1.040202965550899,0.9595375333624334,0.2229280677043945,25.130495089745143,0.2658804504309069,0.73,,,
