sample,Index,measure,beta,t,p_raw,beta_lag,t_lag,p_lag,N
FY23-24,TRINDEX,total_vol,-0.0007339749445561774,-2.423579411933391,0.016267408802911196,-0.0005320929617522772,-2.156466413621121,0.03225284174119274,395
FY23-24,TRINDEX,idio_vol,-0.0007444342734722166,-2.4817885205079397,0.013905053452915737,-0.0005253113818831888,-2.1899977230086995,0.02969269675659647,395
FY23-24,TRINDEX,downside_vol,-0.00020641775646317235,-1.0257006056099776,0.30628418448701594,-0.00017532545331055526,-0.8821901484823109,0.37874372034997794,395
FY23-24,TRINDEX,max_drawdown,-0.012522053859721351,-3.9490081333714873,0.00010903886844027777,-0.010971555584151728,-3.5399771442952583,0.0004987405762741919,395
FY23-24,OINDEX,total_vol,-0.0007909357038630849,-2.4401294479624567,0.015562005666966711,-0.0006123461159031955,-2.180898778583701,0.03036938482115287,395
FY23-24,OINDEX,idio_vol,-0.0008887367631948302,-2.706962366773153,0.007383516720161139,-0.0006643629014565985,-2.42828423865652,0.016064052348919715,395
FY23-24,OINDEX,downside_vol,-0.00038960204772172844,-2.0322402024267654,0.04346496555836578,-0.00035965009967934484,-1.9678475752404445,0.050481710643853726,395
FY23-24,OINDEX,max_drawdown,-0.002123360208416709,-0.6274707489053372,0.5310736445249473,-0.0006616865230010293,-0.20384743475828324,0.8386820837085017,395
