BSE Code,FY,Industry,Sector,total_vol,idio_vol,downside_vol,max_drawdown,lag_total_vol,lag_idio_vol
500002.0,FY23,Specialty Industrial Machinery,Industrials,0.017936479056126525,0.015862151411246642,0.012346349569194313,0.1490305417155563,0.016017682224627308,0.015145195827974337
500008.0,FY23,Electrical Equipment & Parts,Industrials,0.015993582463305393,0.014728007866041745,0.00922562910673419,0.08628249549070188,0.01513246761753824,0.015092045846532426
500027.0,FY23,Specialty Chemicals,Basic Materials,0.01570124928530694,0.013890853612812509,0.007039785794267313,0.1886222339450725,0.012597729065716365,0.011925372596577145
500033.0,FY23,Auto Manufacturers,Consumer Cyclical,0.02463287508040363,0.0234845691317236,0.010348933093718045,0.17757954970815426,0.029426152265175823,0.028155307247827877
500034.0,FY23,Credit Services,Financial Services,0.013166953386359148,0.012128593457244707,0.007051518881429466,0.14050832543014558,0.01571666550730872,0.014106998905308428
500040.0,FY23,Real Estate Services,Real Estate,0.025481582075242343,0.02375635114688828,0.013889546201765805,0.11145996537986946,0.01961490232301813,0.018272025905120858
500042.0,FY23,Specialty Chemicals,Basic Materials,0.013900630988140188,0.012995553864883885,0.007075296972161755,0.11914814038920774,0.014075354100688303,0.013791748946189853
500043.0,FY23,Footwear & Accessories,Consumer Cyclical,0.01176557471649488,0.010469896516558346,0.006222536914737155,0.15106154942586725,0.010612474520998007,0.009622650355985812
500049.0,FY23,Aerospace & Defense,Industrials,0.01698876338375967,0.01342850608822462,0.00922650486836152,0.10953673991203328,0.01692507595913389,0.01439774013925461
500067.0,FY23,Building Products & Equipment,Industrials,0.020398497591873864,0.02024728543831679,0.009159050036982773,0.10836965420732259,0.014325268440671604,0.014147833620697351
500084.0,FY23,Utilities - Regulated Electric,Utilities,0.022290195927335443,0.018893240036911185,0.010885536798329465,0.10118407792852835,0.011820145146209797,0.011190585444852906
500085.0,FY23,Agricultural Inputs,Basic Materials,0.019666264603186764,0.016395574761759155,0.010505465992116865,0.09347154983267303,0.015579103379016355,0.013058392546331324
500092.0,FY23,Financial Data & Stock Exchanges,Financial Services,0.014882073514514782,0.014368572803623378,0.007998933752806598,0.07897809886613993,0.01654245869377743,0.016355830071473614
500093.0,FY23,Electrical Equipment & Parts,Industrials,0.023896587399296985,0.023568069014047753,0.01048104540972106,0.18374511236109403,0.01686058594762627,0.016393093419727837
