NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_obs,beta,total_vol,downside_vol
BASF,500042,Specialty Chemicals,Basic Materials,FY24,2023-10-14,2023-10-16,2024-10-28,252,1.1153810811890177,0.028211438502292165,0.01328854336492017
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.6875161240592792,0.012688950331831868,0.006396566151749232
BEL,500049,Aerospace & Defense,Industrials,FY24,2023-10-11,2023-10-12,2024-10-24,252,1.9646684951714986,0.02483814325039059,0.011124464005690697
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY24,2023-10-12,2023-10-13,2024-10-25,252,0.6417500644969212,0.022715429238249964,0.012527354079277592
CESC,500084,Utilities - Regulated Electric,Utilities,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.7430586058643294,0.028123087505966777,0.012163389451318878
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.8439739147396983,0.02916431332733686,0.01429265893133091
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.30492152255537985,0.017405965228138424,0.009906921965897288
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.8784198229394607,0.02536146540371365,0.01222638967816647
IFCI,500106,Credit Services,Financial Services,FY24,2023-10-12,2023-10-13,2024-10-25,252,1.7754414910250498,0.04260898241373124,0.016711911852752143
SAIL,500113,Steel,Basic Materials,FY24,2023-10-13,2023-10-16,2024-10-28,252,2.4175169076509677,0.03143928536504461,0.01265753025760204
EIDPARRY,500125,Agricultural Inputs,Basic Materials,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.9041595221020803,0.021789989997593222,0.011625898092847517
GODFRYPHLP,500163,Tobacco,Consumer Defensive,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.0744082545477935,0.03625867755223118,0.017895928716956458
GODREJIND,500164,Conglomerates,Industrials,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.6680474676748573,0.021235874613025008,0.012308761889006673
KANSAINER,500165,Specialty Chemicals,Basic Materials,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.6904022499854061,0.015319244237430966,0.008359484721453992
HDFCBANK,500180,Banks - Regional,Financial Services,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.8399233220372426,0.013822564888764998,0.009045420799938484
HEROMOTOCO,500182,Auto Manufacturers,Consumer Cyclical,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.5430733457908501,0.016290883009380534,0.008778328894440274
HSCL,500184,Specialty Chemicals,Basic Materials,FY24,2023-10-09,2023-10-10,2024-10-22,252,1.114017373353363,0.02612957120982862,0.011982577773892224
HINDZINC,500188,Other Industrial Metals & Mining,Basic Materials,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.9621732312380299,0.029644659978118226,0.014629396142520503
INFY,500209,Information Technology Services,Technology,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.5530684692392973,0.014230254837031872,0.007788345853478801
KAJARIACER,500233,Building Products & Equipment,Industrials,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.7972040161203673,0.018349925028096854,0.009166547566694917
WHIRLPOOL,500238,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY24,2023-10-21,2023-10-23,2024-11-04,252,0.5251582936272312,0.01945597282593786,0.013932123137654953
LMW,500252,Specialty Industrial Machinery,Industrials,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.7900989150799855,0.018377250569361105,0.007673339657760173
LICHSGFIN,500253,Mortgage Finance,Financial Services,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.795154841682276,0.022678030276879077,0.010639884451429315
RAMCOCEM,500260,Building Materials,Basic Materials,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.0063393937661171,0.01622924081951991,0.01030980961328103
MAHSCOOTER,500266,Asset Management,Financial Services,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.7058838721989897,0.01867231409283233,0.009690522684678156
MFSL,500271,Insurance - Life,Financial Services,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.7668158421884828,0.019188065260100553,0.009855987805603976
MRF,500290,Auto Parts,Consumer Cyclical,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.6315539511300103,0.013407018355117808,0.007295582352538395
VEDL,500295,Other Industrial Metals & Mining,Basic Materials,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.4501875675166733,0.02256211477800039,0.009449311029123128
ONGC,500312,Oil & Gas Integrated,Energy,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.7299711143678904,0.02350374466473121,0.009077128294556
RELIANCE,500325,Oil & Gas Refining & Marketing,Energy,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.0315572572491023,0.013785497073839742,0.005938836697583915
PATANJALI,500368,Packaged Foods,Consumer Defensive,FY24,2023-10-21,2023-10-23,2024-11-04,252,1.472485235062733,0.024287759677503743,0.012091348708939013
SHREECEM,500387,Building Materials,Basic Materials,FY24,2023-10-11,2023-10-12,2024-10-24,252,0.5313604238630203,0.014285109926596045,0.009620383848176555
TATAPOWER,500400,Utilities - Independent Power Producers,Utilities,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.7296684259351127,0.022760516230134347,0.008893896240249732
SUNDRMFAST,500403,Auto Parts,Consumer Cyclical,FY24,2023-10-11,2023-10-12,2024-10-24,252,0.39937100723372204,0.015118774200566537,0.009495644103628112
TATAELXSI,500408,Software - Application,Technology,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.6858692662309063,0.019158371831601694,0.011114079146876808
ACC,500410,Building Materials,Basic Materials,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.5399294129959717,0.02116654743044654,0.008498100006895598
THERMAX,500411,Conglomerates,Industrials,FY24,2023-10-11,2023-10-12,2024-10-24,252,0.8873379387645275,0.023283522955250463,0.012742780018822564
TORNTPHARM,500420,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.41607413189771086,0.014643870459425619,0.008965235561469482
AMBUJACEM,500425,Building Materials,Basic Materials,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.7372774788343137,0.02196045717889548,0.009372225954724873
PGHH,500459,Household & Personal Products,Consumer Defensive,FY24,2023-10-21,2023-10-23,2024-11-04,252,0.2440489083197413,0.012147813288765906,0.006864937646733319
FEDERALBNK,500469,Banks - Regional,Financial Services,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.9613310481026507,0.01696776504691216,0.009158048561732796
TATASTEEL,500470,Steel,Basic Materials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.4236384363929113,0.01857612984951257,0.007992335713669554
BAJAJHLDNG,500490,Asset Management,Financial Services,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.5120232433550106,0.017211292265248007,0.009362997146723244
BHARATFORG,500493,Auto Parts,Consumer Cyclical,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.3609151943297542,0.022483305174528394,0.013322312057782112
ESCORTS,500495,Farm & Heavy Construction Machinery,Industrials,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.8974255758942395,0.017531975698093494,0.009338295560708353
LT,500510,Engineering & Construction,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.3407530145350401,0.0178296422206393,0.008803372459974592
M&M,500520,Auto Manufacturers,Consumer Cyclical,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.1106090403940019,0.019685908148564586,0.010392740980541791
BOSCHLTD,500530,Auto Parts,Consumer Cyclical,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.7307173384356307,0.015516793219270636,0.009203000643257369
BPCL,500547,Oil & Gas Refining & Marketing,Energy,FY24,2023-10-11,2023-10-12,2024-10-24,252,1.527397674417185,0.02256049141082728,0.009536474357568374
VOLTAS,500575,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.8692083645857978,0.019957168688280312,0.010502319771236461
GESHIP,500620,Marine Shipping,Industrials,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.0651131281218797,0.024067423760176156,0.011314915663527656
DEEPAKFERT,500645,Chemicals,Basic Materials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.1123206168854982,0.030112266335449337,0.014842960266584207
HINDUNILVR,500696,Household & Personal Products,Consumer Defensive,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.20231073714579045,0.012751749438115122,0.009583525143232267
AKZOINDIA,500710,Specialty Chemicals,Basic Materials,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.624543970741298,0.019925462531826105,0.008091463583343802
TATACHEM,500770,Chemicals,Basic Materials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.2078899110908095,0.02357107616205637,0.013639945910084106
NESTLEIND,500790,Packaged Foods,Consumer Defensive,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.2935808390335624,0.01237742710451804,0.008058484571504342
TATACONSUM,500800,Packaged Foods,Consumer Defensive,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.5429852489479093,0.014955481434469738,0.009038403654870216
COLPAL,500830,Household & Personal Products,Consumer Defensive,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.3951050184481294,0.015043656597427485,0.010251095044570325
INDHOTEL,500850,Lodging,Consumer Cyclical,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.2508765164352638,0.019251691814244215,0.009051560488235605
CASTROLIND,500870,Oil & Gas Refining & Marketing,Energy,FY24,2023-10-10,2023-10-11,2024-10-23,252,1.4697903448035698,0.027877831201845494,0.01037973509492502
ITC,500875,Tobacco,Consumer Defensive,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.44169790812685666,0.011769849192187069,0.006087147417143604
APOLLOTYRE,500877,Auto Parts,Consumer Cyclical,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.9699169083320796,0.01859580516918804,0.010531691338106748
CEATLTD,500878,Auto Parts,Consumer Cyclical,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.878909400883875,0.020704592535302307,0.010120719378422599
TATAINVEST,501301,Asset Management,Financial Services,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.8433552065588492,0.032958277015202764,0.013679626732084149
BALKRISIND,502355,Auto Parts,Consumer Cyclical,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.8961482874614588,0.019525823782129633,0.011101376796457585
PHOENIXLTD,503100,Real Estate - Diversified,Real Estate,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.9743091140194585,0.026724106015750548,0.013530490829670026
SRF,503806,Conglomerates,Industrials,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.0334163734196735,0.015941605256320567,0.008795966052968136
SARDAEN,504614,Steel,Basic Materials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.486858294010013,0.03104290968069485,0.015459080209986834
CHOLAHLDNG,504973,Credit Services,Financial Services,FY24,2023-10-05,2023-10-06,2024-10-18,252,0.756656109178963,0.021662649987561615,0.010487612009836774
EICHERMOT,505200,Auto Manufacturers,Consumer Cyclical,FY24,2023-10-21,2023-10-23,2024-11-04,252,0.82400984531551,0.015989136405063914,0.008420803851699726
SCHAEFFLER,505790,Auto Parts,Consumer Cyclical,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.8672226713105459,0.019962899703354534,0.010978226517567871
BAYERCROP,506285,Agricultural Inputs,Basic Materials,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.5622834892031452,0.017859664829670156,0.010486797005381864
DEEPAKNTR,506401,Chemicals,Basic Materials,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.1088740506635402,0.018857181345943348,0.009862334919667242
ASTRAZEN,506820,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.6959281504819185,0.029469267654898785,0.015995421235503116
JBCHEPHARM,506943,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.49360904443924447,0.01785365864303386,0.01033988327492771
WIPRO,507685,Information Technology Services,Technology,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.8688551020397781,0.017884662409562782,0.010829460990564949
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.5053989585400769,0.013742005347852807,0.008747044940093365
SUPREMEIND,509930,Building Products & Equipment,Industrials,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.9523106554144178,0.026163352768284246,0.013528183637120815
CHOLAFIN,511243,Credit Services,Financial Services,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.0535435937355722,0.019987226219250167,0.01095564061791562
UPL,512070,Agricultural Inputs,Basic Materials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.1876443338861158,0.018865537164966854,0.012087184616350955
ADANIENT,512599,Thermal Coal,Energy,FY24,2023-10-21,2023-10-23,2024-11-04,252,2.041774422834715,0.026279186187784985,0.008752411755034223
HINDCOPPER,513599,Copper,Basic Materials,FY24,2023-10-09,2023-10-10,2024-10-22,252,2.431607617850275,0.03447479041802745,0.01395994767500103
NLCINDIA,513683,Utilities - Regulated Electric,Utilities,FY24,2023-10-17,2023-10-18,2024-10-30,252,2.0880798968934537,0.035750706711972106,0.018070046312927496
ANANTRAJ,515055,Real Estate - Development,Real Estate,FY24,2023-10-21,2023-10-23,2024-11-04,252,1.8739633048894127,0.028603666284525306,0.01193718847444245
HONAUT,517174,Electrical Equipment & Parts,Industrials,FY24,2023-10-21,2023-10-23,2024-11-04,252,0.6590921657536071,0.01793291517792233,0.01029890917918132
MOTHERSON,517334,Auto Parts,Consumer Cyclical,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.1572767256926924,0.020377467799071795,0.011019291425643942
KEI,517569,Electrical Equipment & Parts,Industrials,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.9393156067927733,0.02509398792403392,0.012790865039543731
TVSHLTD,520056,Auto Parts,Consumer Cyclical,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.9613665122613891,0.023175008393071635,0.010875761347415906
TRIDENT,521064,Textile Manufacturing,Consumer Cyclical,FY24,2023-10-09,2023-10-10,2024-10-22,252,1.0665053323312759,0.02394264443986205,0.009994124816008155
TIMKEN,522113,Tools & Accessories,Industrials,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.6012165759702823,0.021132974067817122,0.012011190033753576
KPIL,522287,Engineering & Construction,Industrials,FY24,2023-10-19,2023-10-20,2024-11-01,246,1.2887620616948237,0.025663366017401847,0.011652883676202921
3MINDIA,523395,Conglomerates,Industrials,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.575670531571752,0.019339785764124682,0.008266729295133161
JMFINANCIL,523405,Capital Markets,Financial Services,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.5386034951579246,0.0320737789898107,0.017436743789818084
VINATIORGA,524200,Specialty Chemicals,Basic Materials,FY24,2023-10-06,2023-10-09,2024-10-21,252,0.48548651874567395,0.016354045838409183,0.009648482134187175
SUNPHARMA,524715,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.4154187818923982,0.01179696543922015,0.007597768204266529
AUROPHARMA,524804,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-11,2023-10-12,2024-10-24,252,0.619918815235573,0.017983909338611454,0.010540181398366733
NATCOPHARM,524816,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-11,2023-10-12,2024-10-24,252,0.7125116314100481,0.02104726885589925,0.01093305181001248
MPHASIS,526299,Information Technology Services,Technology,FY24,2023-10-10,2023-10-11,2024-10-23,252,0.8907038410906557,0.019996926422172413,0.010615372007057828
JUBLPHARMA,530019,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.107723835206445,0.029908271224601983,0.01485167907625212
CONCOR,531344,Railroads,Industrials,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.8434031553765533,0.02395570085085816,0.010816503755145949
HATSUN,531531,Packaged Foods,Consumer Defensive,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.329337857611565,0.019954983896009672,0.012768881295650403
CGCL,531595,Credit Services,Financial Services,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.7108946242130463,0.032519909291892496,0.01680071954386909
MARICO,531642,Household & Personal Products,Consumer Defensive,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.22849322000474676,0.01546696213147277,0.009093724657704985
BANKBARODA,532134,Banks - Regional,Financial Services,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.721556432515674,0.022481259038772704,0.010582137583202571
GMDCLTD,532181,Thermal Coal,Energy,FY24,2023-10-14,2023-10-16,2024-10-28,252,1.971149700389775,0.03229404883365395,0.01850507563722361
CUB,532210,Banks - Regional,Financial Services,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.0686034560768105,0.019841642450229444,0.00944046051654089
NATIONALUM,532234,Aluminum,Basic Materials,FY24,2023-10-17,2023-10-18,2024-10-30,252,2.399203128778923,0.03160055997917165,0.012730109519935149
APARINDS,532259,Electrical Equipment & Parts,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.9520334714677674,0.025188278704179706,0.01218439157176908
HCLTECH,532281,Information Technology Services,Technology,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.5858233462822537,0.014221374699647413,0.008275158733685556
JINDALSTEL,532286,Steel,Basic Materials,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.3574638598486484,0.020424871177045775,0.009861134533806278
WOCKPHARMA,532300,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.4098422687862597,0.034606107142378134,0.013108941489852173
ZYDUSLIFE,532321,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-09,2023-10-10,2024-10-22,252,0.7140580975961015,0.01734179765653875,0.010737253075559642
AJANTPHARM,532331,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-11,2023-10-12,2024-10-24,252,0.27955142669593636,0.01969767475604723,0.010685725675034992
OFSS,532466,Software - Infrastructure,Technology,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.1058095507149281,0.028337631558503825,0.011723194559049266
UNIONBANK,532477,Banks - Regional,Financial Services,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.7156720209075607,0.025365891170708824,0.01192559640901128
UBL,532478,Beverages - Brewers,Consumer Defensive,FY24,2023-10-12,2023-10-13,2024-10-25,252,0.4363410551451339,0.01579180288358343,0.008784128689254257
RADICO,532497,Beverages - Wineries & Distilleries,Consumer Defensive,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.6685977341303733,0.021061778231061225,0.01117390748061091
MARUTI,532500,Auto Manufacturers,Consumer Cyclical,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.697591495038872,0.01396869635790474,0.007136879924507877
NAVINFLUOR,532504,Chemicals,Basic Materials,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.2665710323690944,0.01873844682518392,0.009877104572005064
UCOBANK,532505,Banks - Regional,Financial Services,FY24,2023-10-09,2023-10-10,2024-10-22,252,1.9460342778369406,0.030473904603733438,0.011967204544710482
IGL,532514,Utilities - Regulated Gas,Utilities,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.020187159986194,0.02144612373113084,0.01757702916125534
PETRONET,532522,Oil & Gas Refining & Marketing,Energy,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.158580840676064,0.021030699455416,0.011290855132725007
COFORGE,532541,Information Technology Services,Technology,FY24,2023-10-21,2023-10-23,2024-11-04,252,0.7278725652900921,0.021059266660205408,0.013331317567151398
IIFL,532636,Credit Services,Financial Services,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.3428462027351424,0.036160710330544424,0.02816621357473194
YESBANK,532648,Banks - Regional,Financial Services,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.5984051154431507,0.02895742632297726,0.01188660194800741
AIAENG,532683,Specialty Industrial Machinery,Industrials,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.4777430793368307,0.017629740124807076,0.010754098584552016
KEC,532714,Engineering & Construction,Industrials,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.164846987591212,0.023273994688571442,0.011259759386340887
M&MFIN,532720,Credit Services,Financial Services,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.1741439398891123,0.020120845763523576,0.015119156642004243
SOLARINDS,532725,Specialty Chemicals,Basic Materials,FY24,2023-10-12,2023-10-13,2024-10-25,252,1.1843323088205833,0.02747284723477654,0.013663956105890163
GALLANTT,532726,Steel,Basic Materials,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.9894764742249491,0.031939855109903346,0.014435499231316776
GPIL,532734,Steel,Basic Materials,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.88190854862065,0.024176949666435483,0.012263957762706227
GMRAIRPORT,532754,Airports & Air Services,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.9154826260673932,0.027249974516782908,0.010147153609995437
NAUKRI,532777,Internet Content & Information,Communication Services,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.9712422743364173,0.019004238727718694,0.00827143115150543
LTFOODS,532783,Packaged Foods,Consumer Defensive,FY24,2023-10-13,2023-10-31,2024-10-28,238,1.3337690659719081,0.030032703186540898,0.01782203168912672
SOBHA,532784,Real Estate - Development,Real Estate,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.3391763240934038,0.03178650250739289,0.015054204125226045
REDINGTON,532805,Information Technology Services,Technology,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.9087089723126639,0.02034982832908652,0.010915743132791297
FSL,532809,Information Technology Services,Technology,FY24,2023-10-12,2023-10-13,2024-10-25,252,1.2944566945028013,0.026922839678886815,0.011993416111335604
PFC,532810,Credit Services,Financial Services,FY24,2023-10-19,2023-10-20,2024-11-01,252,2.5120702795992544,0.032641589621231384,0.015329060876132169
INDIANB,532814,Banks - Regional,Financial Services,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.3190862807860966,0.02451593637094323,0.012019152411345178
IDEA,532822,Telecom Services,Communication Services,FY24,2023-10-19,2023-10-20,2024-11-01,252,2.379931606182306,0.04018890456163029,0.023748290745316324
ASTRAL,532830,Building Products & Equipment,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.8284672909369857,0.017294190119060047,0.011557471244030228
DLF,532868,Real Estate - Development,Real Estate,FY24,2023-10-04,2023-10-05,2024-10-17,252,1.7029693820341594,0.021066345542305628,0.007641457190670287
KPRMILL,532889,Textile Manufacturing,Consumer Cyclical,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.3863424402548923,0.020718358628225058,0.00936642464983449
ECLERX,532927,Information Technology Services,Technology,FY24,2023-10-16,2023-10-17,2024-10-29,252,0.6385617910741528,0.022255150144768192,0.010686790337962965
BRIGADE,532929,Real Estate - Development,Real Estate,FY24,2023-10-13,2023-10-16,2024-10-28,252,1.2485653380364738,0.025709950200927003,0.012640379664574826
RPOWER,532939,Utilities - Independent Power Producers,Utilities,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.2369534417774788,0.035647271221266257,0.017189304128972335
IRB,532947,Infrastructure Operations,Industrials,FY24,2023-10-17,2023-10-18,2024-10-30,252,1.9244464316174497,0.033722676330360336,0.016228500281083646
VGUARD,532953,Electrical Equipment & Parts,Industrials,FY24,2023-10-12,2023-10-13,2024-10-25,252,0.5366173979826021,0.017592108173078838,0.010884615944762779
ZFCVINDIA,533023,Auto Parts,Consumer Cyclical,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.569601759765399,0.02268442666217615,0.010515122836300426
ADANIPOWER,533096,Utilities - Independent Power Producers,Utilities,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.7525338980731031,0.02913844543856322,0.011033581555450542
NHPC,533098,Utilities - Renewable,Utilities,FY24,2023-10-11,2023-10-12,2024-10-24,252,1.8062984942022637,0.028008022469026346,0.015713999265193037
OIL,533106,Oil & Gas Integrated,Energy,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.4526222742314512,0.03051655235108959,0.014834570592975205
JUBLFOOD,533155,Restaurants,Consumer Cyclical,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.5888774232392153,0.017381331308690084,0.008101524552357747
PERSISTENT,533179,Information Technology Services,Technology,FY24,2023-10-14,2023-10-16,2024-10-28,252,0.7802765993425964,0.02057714701944633,0.013484619672973043
SJVN,533206,Utilities - Renewable,Utilities,FY24,2023-10-04,2023-10-05,2024-10-17,252,2.210301064985843,0.03637616368537445,0.020495684968159195
OBEROIRLTY,533273,Real Estate - Development,Real Estate,FY24,2023-10-10,2023-10-11,2024-10-23,252,1.3322792751427515,0.021871569528813205,0.012434470129834882
PRESTIGE,533274,Real Estate - Diversified,Real Estate,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.4288900949168528,0.031188488117821555,0.016555737590198707
KIRLOSENG,533293,Specialty Industrial Machinery,Industrials,FY24,2023-10-16,2023-10-17,2024-10-29,252,1.2216212783223075,0.025269287121205995,0.012337511130041143
LTF,533519,Credit Services,Financial Services,FY24,2023-10-11,2023-10-12,2024-10-24,252,1.6090731285132671,0.02203521402158754,0.01070590025450246
APLLTD,533573,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-10,2023-10-11,2024-10-23,252,0.7610613633314706,0.02388008020670767,0.013023552180853824
PGEL,533581,Electronic Components,Technology,FY24,2023-10-19,2023-10-20,2024-11-01,252,1.51282960221543,0.03460346929709753,0.017411750990481752
TRITURBINE,533655,Specialty Industrial Machinery,Industrials,FY24,2023-10-19,2023-10-20,2024-11-01,252,0.9928295763564776,0.030627928842537424,0.013592009663344689
MCX,534091,Financial Data & Stock Exchanges,Financial Services,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.548000285360823,0.0268514480455718,0.014876351840718038
NBCC,534309,Engineering & Construction,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.9290759189299476,0.037434381463168104,0.015690718453637908
INDUSTOWER,534816,Telecom Services,Communication Services,FY24,2023-10-16,2023-10-17,2024-10-29,252,1.733997546044439,0.02709911341405531,0.013339643649264045
INOXWIND,539083,Specialty Industrial Machinery,Industrials,FY24,2023-10-21,2023-10-23,2024-11-04,252,1.6863056134480816,0.03665579222187991,0.015808445877671797
SYNGENE,539268,Diagnostics & Research,Healthcare,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.5689147582075479,0.015588951484641346,0.008357930029032503
IDFCFIRSTB,539437,Banks - Regional,Financial Services,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.0753800761546095,0.016131992193223796,0.008810269936347948
INDIGO,539448,Airlines,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.9958698060316913,0.018925137666096825,0.011338800131427334
ALKEM,539523,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.5955132823295077,0.01703177992756473,0.010521075061588487
LALPATHLAB,539524,Diagnostics & Research,Healthcare,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.5874602612476776,0.017582941454206746,0.00965213893501495
NH,539551,Medical Care Facilities,Healthcare,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.48084534236647003,0.018829885619907963,0.010694491774581013
LTTS,540115,Information Technology Services,Technology,FY24,2023-10-20,2023-10-23,2024-11-04,252,0.7348767387692401,0.016543926668193387,0.010596896655876344
ENDURANCE,540153,Auto Parts,Consumer Cyclical,FY24,2023-10-13,2023-10-16,2024-10-28,252,0.7022875734939743,0.020985995331137302,0.011573549606179501
