Family,alpha_pre_tc,alpha_post_tc,t_pre_tc,t_post_tc,tc_drag_annualised
COMPOSITE,-0.1654076415828684,-0.16813460978256947,-1.7592151648086651,-1.78836517309931,0.0027269681997010853
AINDEX,-0.09955593363095228,-0.10228290183065336,-1.3499125781634589,-1.391405120570207,0.0027269681997010853
BINDEX,-0.013026593776055768,-0.01575356197575686,-0.18162059887465556,-0.2178948153953022,0.0027269681997010922
CINDEX,-0.11675835353040259,-0.11948532173010368,-1.3467832552944845,-1.378880137970779,0.0027269681997010853
DINDEX,-0.15057290973516518,-0.15329987793486627,-1.6034127912695626,-1.6351370156833642,0.0027269681997010853
OINDEX,0.001343247684671116,-0.0013837205150299694,0.019066914396294814,-0.01955658585107659,0.0027269681997010853
TRINDEX,-0.08518023803496974,-0.08790720623467083,-1.1258693384785252,-1.1693670315969835,0.0027269681997010853
