BSE Code,Q_FY,Category,Avg_Score
500008.0,Q1FY23,AINDEX,0.4173875
500008.0,Q1FY23,BINDEX,0.5762829268292683
500008.0,Q1FY23,DINDEX,0.42058823529411765
500008.0,Q1FY23,OINDEX,0.7658833333333334
500008.0,Q1FY23,TRINDEX,0.79128
500008.0,Q1FY24,AINDEX,0.4939125
500008.0,Q1FY24,BINDEX,0.5437658536585366
500008.0,Q1FY24,DINDEX,0.42058823529411765
500008.0,Q1FY24,OINDEX,0.7658833333333334
500008.0,Q1FY24,TRINDEX,0.79128
500008.0,Q1FY25,AINDEX,0.6478625
500008.0,Q1FY25,BINDEX,0.6917365853658537
500008.0,Q1FY25,DINDEX,0.42058823529411765
500008.0,Q1FY25,OINDEX,0.7658833333333334
500008.0,Q1FY25,TRINDEX,0.79128
500008.0,Q1FY26,AINDEX,0.6551
500008.0,Q1FY26,BINDEX,0.746370731707317
500008.0,Q1FY26,DINDEX,0.42058823529411765
500008.0,Q1FY26,OINDEX,0.7658833333333334
500008.0,Q1FY26,TRINDEX,0.79128
500008.0,Q2FY21,AINDEX,0.5092875
500008.0,Q2FY21,BINDEX,0.5221658536585365
500008.0,Q2FY21,DINDEX,0.42058823529411765
500008.0,Q2FY21,OINDEX,0.7658833333333334
500008.0,Q2FY21,TRINDEX,0.59128
500008.0,Q2FY22,AINDEX,0.36365000000000003
500008.0,Q2FY22,BINDEX,0.5822146341463414
500008.0,Q2FY22,DINDEX,0.42058823529411765
500008.0,Q2FY22,OINDEX,0.7658833333333334
500008.0,Q2FY22,TRINDEX,0.79128
500008.0,Q2FY23,AINDEX,0.498125
500008.0,Q2FY23,BINDEX,0.5860390243902439
500008.0,Q2FY23,DINDEX,0.42058823529411765
500008.0,Q2FY23,OINDEX,0.7658833333333334
500008.0,Q2FY23,TRINDEX,0.59128
500008.0,Q2FY24,AINDEX,0.586425
500008.0,Q2FY24,BINDEX,0.5592097560975611
500008.0,Q2FY24,DINDEX,0.42058823529411765
500008.0,Q2FY24,OINDEX,0.7658833333333334
500008.0,Q2FY24,TRINDEX,0.69128
500008.0,Q2FY25,AINDEX,0.6198375
500008.0,Q2FY25,BINDEX,0.7629756097560976
500008.0,Q2FY25,DINDEX,0.42058823529411765
500008.0,Q2FY25,OINDEX,0.7658833333333334
500008.0,Q2FY25,TRINDEX,0.69128
500008.0,Q2FY26,AINDEX,0.63735
500008.0,Q2FY26,BINDEX,0.7268585365853659
500008.0,Q2FY26,DINDEX,0.42058823529411765
500008.0,Q2FY26,OINDEX,0.7658833333333334
500008.0,Q2FY26,TRINDEX,0.59128
500008.0,Q3FY21,AINDEX,0.5092875
500008.0,Q3FY21,BINDEX,0.5026536585365854
500008.0,Q3FY21,DINDEX,0.42058823529411765
500008.0,Q3FY21,OINDEX,0.7658833333333334
500008.0,Q3FY21,TRINDEX,0.59128
500008.0,Q3FY22,AINDEX,0.36365000000000003
500008.0,Q3FY22,BINDEX,0.5673365853658536
500008.0,Q3FY22,DINDEX,0.42058823529411765
500008.0,Q3FY22,OINDEX,0.7658833333333334
500008.0,Q3FY22,TRINDEX,0.59128
500008.0,Q3FY23,AINDEX,0.498125
500008.0,Q3FY23,BINDEX,0.5681560975609756
500008.0,Q3FY23,DINDEX,0.42058823529411765
500008.0,Q3FY23,OINDEX,0.7658833333333334
500008.0,Q3FY23,TRINDEX,0.59128
500008.0,Q3FY24,AINDEX,0.6875
500008.0,Q3FY24,BINDEX,0.6965268292682927
500008.0,Q3FY24,DINDEX,0.42058823529411765
500008.0,Q3FY24,OINDEX,0.7658833333333334
500008.0,Q3FY24,TRINDEX,0.59128
500008.0,Q3FY25,AINDEX,0.6167374999999999
500008.0,Q3FY25,BINDEX,0.7288292682926829
500008.0,Q3FY25,DINDEX,0.42058823529411765
500008.0,Q3FY25,OINDEX,0.7658833333333334
500008.0,Q3FY25,TRINDEX,0.59128
500008.0,Q3FY26,AINDEX,0.65625
500008.0,Q3FY26,BINDEX,0.7434634146341463
500008.0,Q3FY26,DINDEX,0.42058823529411765
500008.0,Q3FY26,OINDEX,0.7658833333333334
500008.0,Q3FY26,TRINDEX,0.69128
500008.0,Q4FY21,AINDEX,0.4173875
500008.0,Q4FY21,BINDEX,0.5205365853658537
500008.0,Q4FY21,DINDEX,0.42058823529411765
500008.0,Q4FY21,OINDEX,0.7658833333333334
500008.0,Q4FY21,TRINDEX,0.69128
500008.0,Q4FY22,AINDEX,0.38225
500008.0,Q4FY22,BINDEX,0.5662536585365854
500008.0,Q4FY22,DINDEX,0.42058823529411765
500008.0,Q4FY22,OINDEX,0.7658833333333334
500008.0,Q4FY22,TRINDEX,0.69128
500008.0,Q4FY23,AINDEX,0.4939125
500008.0,Q4FY23,BINDEX,0.5543317073170732
500008.0,Q4FY23,DINDEX,0.42058823529411765
500008.0,Q4FY23,OINDEX,0.7658833333333334
500008.0,Q4FY23,TRINDEX,0.69128
500008.0,Q4FY24,AINDEX,0.6551
500008.0,Q4FY24,BINDEX,0.7054634146341463
500008.0,Q4FY24,DINDEX,0.42058823529411765
500008.0,Q4FY24,OINDEX,0.7658833333333334
500008.0,Q4FY24,TRINDEX,0.69128
500008.0,Q4FY25,AINDEX,0.65625
500008.0,Q4FY25,BINDEX,0.6672878048780487
500008.0,Q4FY25,DINDEX,0.42058823529411765
500008.0,Q4FY25,OINDEX,0.7658833333333334
500008.0,Q4FY25,TRINDEX,0.69128
500027.0,Q1FY23,AINDEX,0.5214624999999999
500027.0,Q1FY23,BINDEX,0.47303414634146346
500027.0,Q1FY23,DINDEX,0.029411764705882353
500027.0,Q1FY23,OINDEX,0.7454999999999999
500027.0,Q1FY23,TRINDEX,0.6359600000000001
