Category,Outcome,N,se,beta_hat,mde_analytic_raw,m_star_raw,mde_sim_raw,m_star_rw,mde_sim_rw,c_rw
AINDEX,mar_pct,395,0.0198544168061414,0.0255274283275647,0.05562384063833944,3.0976342786316744,0.061501722080944406,4.508421965991051,0.08951208885074977,3.2130112195369414
AINDEX,capm_alpha,395,0.0181914518263457,0.02113376153241,0.050964902532704276,3.2798935173299095,0.05966602491605061,4.629250368006993,0.08421278506169232,3.2130112195369414
AINDEX,ff5_alpha,395,0.02772593984668,-0.0339574378162309,0.07767658323274802,3.6106183429406333,0.10010778698569141,5.0,0.1386296992334,3.2130112195369414
AINDEX,total_vol,395,0.0002583725986202,3.065392110566819e-05,0.0007238528530597874,2.9500985392237267,0.0007622246257648902,4.346968945893368,0.001123137662671781,3.2130112195369414
AINDEX,idio_vol,395,0.000254599014168,-9.97152104448596e-06,0.000713280834639203,3.0452427699301894,0.0007753158071264558,4.418071030061118,0.0011248365287777609,3.2130112195369414
AINDEX,downside_vol,395,0.0001566294133503,-5.440033988488056e-05,0.00043881064916390653,3.121189436485257,0.0004888700703918392,4.4821405209517176,0.0007020350403502756,3.2130112195369414
AINDEX,roe,394,0.0077173920094365,-0.0113021939939506,0.021620931376020436,2.9172478581977352,0.022513545310400947,4.337393938568278,0.03347336932328514,3.2130112195369414
BINDEX,mar_pct,395,0.0253215721463781,0.0472699080740338,0.07094054222467396,3.075951471609793,0.07788792710712526,4.436614975569272,0.11234206618957884,3.2130112195369414
BINDEX,capm_alpha,395,0.0229545803554884,0.032801825574901,0.06430921301192263,3.072034040303203,0.07051725223293556,4.430365005397534,0.1016971695205415,3.2130112195369414
BINDEX,ff5_alpha,395,0.0322659562020513,0.0921611552261912,0.09039582594394736,3.3226822150119633,0.1072095188229108,4.661622089772477,0.1504116941791136,3.2130112195369414
BINDEX,total_vol,395,0.000339211365439,-0.0001888333568387,0.0009503295472298186,3.0562063535236144,0.0010366999302420924,4.4730602812334,0.001517312885688139,3.2130112195369414
BINDEX,idio_vol,395,0.0003294377800838,-0.0003401472194157,0.0009229480149707249,2.9932716312047645,0.0009860967613719125,4.340734957664542,0.0014300020883851541,3.2130112195369414
BINDEX,downside_vol,395,0.000188789002436,-0.0002394405261533,0.0005289084785669907,3.0976342786316744,0.0005847992853744323,4.501858098177752,0.0008499012994634058,3.2130112195369414
BINDEX,roe,394,0.0079253921302151,0.0107807006786,0.022203661439759475,2.954620342124643,0.023416524807248096,4.371289470850412,0.03464418317116999,3.2130112195369414
CINDEX,mar_pct,413,0.0242534781215264,-0.0231534095842402,0.06794818579309464,3.08876802195812,0.07491336764303164,4.472802996351626,0.10848102961391187,3.2130112195369414
CINDEX,capm_alpha,413,0.02287492702335,-0.0206429730974895,0.06408605741403024,3.260576472493981,0.07458544886235179,4.670217829592316,0.10683089203507225,3.2130112195369414
CINDEX,ff5_alpha,413,0.0254312590950794,-0.0509402464631605,0.07124783955877544,2.911588905655417,0.0740453718380816,4.319319802354144,0.10984574100817539,3.2130112195369414
CINDEX,total_vol,413,0.0002688411614068,-0.0003887023325105,0.0007531814238176135,2.711050231729591,0.0007288418929303575,4.026449817637586,0.0010824754453198865,3.2130112195369414
CINDEX,idio_vol,413,0.0002524955695308,-0.0003430582859579,0.0007073878552365045,2.8949277435247467,0.0007309564293517946,4.280893431614604,0.0010809066251161903,3.2130112195369414
CINDEX,downside_vol,413,0.0001554711403769,-5.198555027236706e-05,0.0004355656487230893,2.879435366885224,0.00044766910013122323,4.201872612268633,0.0006532699267478682,3.2130112195369414
CINDEX,roe,412,0.0053925986973019,-0.0081870351196954,0.015107824797576254,2.6919725755358823,0.014516727804007241,3.957915938410487,0.02134345233350282,3.2130112195369414
OINDEX,mar_pct,395,0.0257028280407111,-0.0152404804985715,0.07200866310255573,3.3238164091534483,0.08543148160336493,4.815456048709768,0.1237708387575893,3.2130112195369414
OINDEX,capm_alpha,395,0.0237886040943177,-0.0125742210814544,0.0666458015901821,3.5399359350278092,0.0842101344776249,4.926259922566477,0.1171888469636381,3.2130112195369414
OINDEX,ff5_alpha,395,0.0264360463537213,-0.0200085352396835,0.07406283668993482,3.572892906524437,0.09445316249376204,5.0,0.1321802317686065,3.2130112195369414
OINDEX,total_vol,395,0.0002959997004325,-0.0006223986725539,0.0008292683852975588,3.2737711978273802,0.0009690352938414512,4.729014779428767,0.0013997869580517801,3.2130112195369414
OINDEX,idio_vol,395,0.000290048641072,-0.0007405466295494,0.0008125959853610693,3.1546583208744288,0.0009150043590161054,4.5686748126041685,0.0013251379208957133,3.2130112195369414
OINDEX,downside_vol,395,0.0001679391619296,-0.0003185114800356,0.0004704958736042475,3.159562984060938,0.00053061435960698,4.569132755877377,0.0007673363257671304,3.2130112195369414
OINDEX,roe,394,0.0076883661989625,0.013897736625318,0.02153961309445273,2.9160438489745677,0.022419612963148577,4.2578243501661825,0.03273571281493715,3.2130112195369414
TRINDEX,mar_pct,395,0.0220432070398942,-0.0159716768559176,0.061755923002771315,3.4902392701056772,0.07693606684970866,5.0,0.11021603519947101,3.2130112195369414
TRINDEX,capm_alpha,395,0.0211072442870578,-0.0166228487816023,0.059133743589720525,3.2453297832991357,0.0684999685281592,4.735445790073086,0.09995221109919206,3.2130112195369414
TRINDEX,ff5_alpha,395,0.0244618341682795,0.0317265407084526,0.06853191301378259,3.5921741951232584,0.08787116946467803,5.0,0.1223091708413975,3.2130112195369414
TRINDEX,total_vol,395,0.0003124102869505,-0.0009493287424451,0.0008752440419069515,3.051672023625107,0.0009533737325795327,4.448351085812802,0.0013897106391753456,3.2130112195369414
