NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
DELHIVERY,543529,Integrated Freight & Logistics,Industrials,FY24,2023-10-20,2023-10-23,2024-11-04,252,-0.18940617567089849,0.30853785319967947,-0.47889855472494564,-0.38053467666448393,0.0,-0.776254965856418
PARADEEP,543530,Agricultural Inputs,Basic Materials,FY24,2023-10-10,2023-10-11,2024-10-23,252,0.3057124996556191,0.3200391903888724,-0.010912557314908033,-0.010853231356739344,0.016312848211728792,0.002688277414882645
SYRMA,543573,Electronic Components,Technology,FY24,2023-10-12,2023-10-13,2024-10-25,252,-0.41074193283912497,0.2915866398561425,-0.7847624626797628,-0.5437719398936282,-1.4830582454613879,-0.9257388229530394
PPLPHARMA,543635,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2023-10-20,2023-10-23,2024-11-04,252,1.7823101591872155,0.30853785319967947,0.7543712038664419,1.1262741099799443,1.1816007005607811,1.2434139963341595
BIKAJI,543653,Packaged Foods,Consumer Defensive,FY24,2023-10-10,2023-10-11,2024-10-23,252,0.8111616366200421,0.3200391903888724,0.31630700176154825,0.37205141317545976,0.5749525610629245,0.6047009124858224
MEDANTA,543654,Medical Care Facilities,Healthcare,FY24,2023-10-18,2023-10-19,2024-10-31,252,0.4840611075970169,0.30819589537447994,0.1261333125965306,0.1344333924638973,0.05525205317179466,-0.054835055256039045
FIVESTAR,543663,Credit Services,Financial Services,FY24,2023-10-20,2023-10-23,2024-11-04,252,-0.040684038089059134,0.30853785319967947,-0.3104451594397795,-0.2668794719501693,-0.1324534866962588,-0.3674109060303426
KAYNES,543664,Electronic Components,Technology,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.072316312622263,0.30819589537447994,0.4600179643508785,0.5841024421109717,0.0,0.5573194225083485
KFINTECH,543720,Software - Application,Technology,FY24,2023-10-21,2023-10-23,2024-11-04,252,1.2484750257865012,0.30853785319967947,0.5413418488454207,0.7183110295880677,0.6432956168408279,0.7334781356725867
ABB,500002,Specialty Industrial Machinery,Industrials,FY25,2024-10-19,2024-10-21,2025-10-28,252,-0.36697076789202493,0.01586350129873997,-0.47297766865409896,-0.3768560133338061,-0.09950843354898314,-0.2669953677132101
ARE&M,500008,Electrical Equipment & Parts,Industrials,FY25,2024-10-11,2024-10-14,2025-10-20,248,-0.3344441148491468,-0.013352847167034726,-0.39368987192879823,-0.325436775203943,-0.23835458174422158,-0.234468714670332
ATUL,500027,Specialty Chemicals,Basic Materials,FY25,2024-10-10,2024-10-11,2025-10-17,252,-0.23684965046235676,-4.221067047317127e-06,-0.2702959955255739,-0.23684642913996676,-0.06612598958432206,-0.28865663506900485
FORCEMOT,500033,Auto Manufacturers,Consumer Cyclical,FY25,2024-10-11,2024-10-14,2025-10-20,252,1.360246008173185,0.004440663216687299,0.8543350217920596,1.349811287622085,1.1231991716333647,1.3250214068106527
BAJFINANCE,500034,Credit Services,Financial Services,FY25,2024-10-19,2024-10-21,2025-10-28,252,0.5169497013741314,0.01586350129873997,0.4009625521595056,0.4932613480401385,0.4101622947478217,0.37400162692002353
ABREL,500040,Real Estate Services,Real Estate,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.4522064774741762,0.01586350129873997,-0.6175958377621658,-0.4607607007974081,0.0,-0.31916340570510976
BASF,500042,Specialty Chemicals,Basic Materials,FY25,2024-10-17,2024-10-18,2025-10-27,252,-0.4478109479180869,0.01984430810732826,-0.6135147822194095,-0.4585555386324705,-0.2770872870400522,-0.499617932524735
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.29818208703062077,0.01586350129873997,-0.36982028285170376,-0.3091415214030884,0.0,-0.3334066883931532
BEL,500049,Aerospace & Defense,Industrials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.5035649008269518,0.01586350129873997,0.3920998979957179,0.480085561598291,0.13577971659813148,0.6035403010057666
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY25,2024-10-16,2024-10-17,2025-10-24,252,-0.1620112721373792,0.0005681212060113779,-0.177318589714701,-0.162487080986979,0.01039848441595137,-0.06203587195856439
CESC,500084,Utilities - Regulated Electric,Utilities,FY25,2024-10-09,2024-10-10,2025-10-16,252,-0.011735874057408094,-0.0015169252325268464,-0.010287206083184758,-0.01023447375636391,-0.025446356827389438,0.04229199153326676
