BSE Code,NSE Symbol,FY,Industry,n_obs,mar_pct,capm_alpha,ff5_alpha,total_vol,idio_vol,downside_vol,roe,AINDEX,BINDEX,CINDEX,COMPOSITE,DINDEX,OINDEX,TRINDEX,Beta_Market,Momentum,Log_MarketCap,DE_Ratio,audit_fees_inr_crore,board_size,board_independence_ratio,board_meeting_count,n_director_changes,n_rating_changes,auditor_change_any
500002.0,ABB,FY23,Specialty Industrial Machinery,250,0.2803008545714947,0.16245950579802323,1.1040546873637267,0.023099138685929044,0.019781959182148798,0.011739286020967386,0.2089375231302358,-2.107344608107299,0.7598095710099184,2.4059826146307435,0.49447927155288285,0.26699412540495254,0.2442753878144343,-0.37114932320228394,0.673807661245254,0.5379475228959718,27.2770841739662,0.0066991806713757,2.25,,,,4.0,0.0,0.0
500034.0,BAJFINANCE,FY23,Credit Services,250,-0.34145902672072204,-0.33108953425291027,0.016045714418858582,0.015586345875875008,0.01324727216498037,0.010043095209381275,0.1884230269501345,-0.32442798561590674,-0.25561826421633266,0.18294814042830515,0.3940442266879647,0.26699412540495254,0.5421440164296353,-0.09910785982289917,1.3367907345547927,-0.1292055127327507,28.86597201944263,3.024847357039416,0.93,,,4.0,13.0,0.0,0.0
500049.0,BEL,FY23,Aerospace & Defense,250,0.7322717511917117,0.32996103944262795,0.31017309380467756,0.02460638085518627,0.01700892552130777,0.011581209406211681,0.2440527560458568,0.4067242518713638,1.7568266072519054,0.7393781286389902,1.7469549015612458,0.5807580840085503,0.8353711435721113,0.31286139976011185,0.9055500407465544,0.4534689703559061,27.266112700073748,0.004425165005847,0.34,,,8.0,17.0,0.0,0.0
500092.0,CRISIL,FY23,Financial Data & Stock Exchanges,250,-0.22921307717325004,-0.06687991581634993,0.33810977547825255,0.016642551582602413,0.01646953130856661,0.009934896973099893,0.3007591606296191,-0.9500137556693217,2.015429661706838,-0.6368945263489849,1.1503493803760079,0.4007604618510929,0.8669582012035435,0.3244279856159066,0.3266523016065098,0.2542344041361329,26.14575085582591,0.0465741805154075,2.72,,,,3.0,0.0,0.0
500093.0,CGPOWER,FY23,Electrical Equipment & Parts,250,0.28020320531239823,0.36423976029996136,0.430788310053103,0.023786905867623644,0.022862459935558924,0.011377022629007503,0.4729207540166499,-1.0986292256666448,-0.5043220460777776,0.020216121092154715,-0.8502946498995912,-0.8045963803603002,0.43072729929545744,-0.5421440164296353,0.881265105106763,0.7467809261966036,26.87432155017448,0.0092431765251241,,,,5.0,3.0,1.0,0.0
500106.0,IFCI,FY23,Credit Services,250,3.868984194990791,3.0846875864257113,0.7042706035935372,0.04604662277897096,0.043616202523895045,0.018807217959608862,0.0228590834314646,-0.22168205125817075,1.7075530935596597,-2.6493567133746767,-0.12158738275048304,0.08254853290411288,-1.7568266072519054,0.37114932320228394,1.1726821641446872,-0.1280000305175771,23.996791991441203,1.5980239913569532,0.23,,,,8.0,0.0,0.0
500125.0,EIDPARRY,FY23,Agricultural Inputs,250,0.18422497624507544,0.2113122872885184,-0.3539665691956274,0.022032243768327523,0.020543823214720754,0.011460119521242903,0.1274636064180214,0.5938213929935199,0.8669582012035435,-1.3742797878564808,2.141198120972019,1.1610685209816873,1.139760810192818,1.040202965550899,0.9595375333624334,0.2229280677043945,25.130495089745143,0.2658804504309069,0.73,,,,5.0,0.0,1.0
500163.0,GODFRYPHLP,FY23,Tobacco,250,0.7287683591376349,0.7715379821415042,1.911893956602169,0.03111269813036197,0.030101636454712373,0.017242138258981153,0.2086528997728842,0.37114932320228394,0.199201324789267,0.8796807913893268,0.06068145248899459,0.08254853290411288,0.021989739377545343,-1.0787442483639718,1.086046659811577,0.7870830569561251,25.22556452138811,0.0997087571095286,0.0109,9.0,0.5555555555555556,5.0,2.0,0.0,1.0
500164.0,GODREJIND,FY23,Conglomerates,250,0.2983732255693451,0.4489548262490193,-0.0987202936938574,0.02214275510081282,0.021549628153779712,0.01160508812544713,0.0074950226900345,0.6607511271402553,-2.375107084194771,0.7000902126075669,-1.1309776082451581,0.31286139976011185,-0.9328891732059704,-1.9379315108528288,0.7238835606183235,-0.1635076021769535,25.636057753715296,2.460136668553708,0.79,11.0,0.5454545454545454,4.0,1.0,3.0,1.0
500165.0,KANSAINER,FY23,Specialty Chemicals,250,-0.3037340728680612,-0.24592209392769057,-0.43911276352168127,0.014704081170993958,0.01341632278397626,0.00869939409066856,0.2123470235877446,,,0.6744897501960817,-1.5507244109235787,,,,0.4526344462121257,-0.1301687230396601,26.0276407296649,0.0633125261927344,35.0,7.0,0.5714285714285714,9.0,3.0,0.0,0.0
