Category,ann_alpha,t,p_rw
DINDEX,-0.15057290973516488,-1.6034127912695586,0.742
AINDEX,-0.09955593363095203,-1.3499125781634547,0.8125
CINDEX,-0.11675835353040241,-1.3467832552944816,0.8125
TRINDEX,-0.08518023803496898,-1.1258693384785146,0.8125
BINDEX,-0.013026593776055563,-0.1816205988746526,0.9885
OINDEX,0.0013432476846709789,0.019066914396292857,0.996
