BSE Code,NSE Symbol,FY,Industry,n_obs,mar_pct,capm_alpha,ff5_alpha,total_vol,idio_vol,downside_vol,roe
500002.0,ABB,FY23,Specialty Industrial Machinery,250,0.28030099059007485,0.16245959307857227,1.104054199417472,0.023099141424807863,0.019781961757819943,0.011739282525636306,0.2089375231302358
500008.0,ARE&M,FY23,Electrical Equipment & Parts,250,0.8513694773246446,0.6569175593573566,-0.11450509523907,0.026661747871238275,0.023600561473183988,0.010797316382300824,0.137434491441784
500027.0,ATUL,FY23,Specialty Chemicals,250,-0.16314613388609014,-0.17001416946168174,-0.25865414197925857,0.016772094647439346,0.01414998698986963,0.007487869054284734,0.063159664785681
500033.0,FORCEMOT,FY23,Auto Manufacturers,209,1.1893662165616272,1.0177674962493353,2.0642089891932565,0.0364023564395848,0.03421330170466075,0.013629456436233103,0.17209131140417
500034.0,BAJFINANCE,FY23,Credit Services,250,-0.34145908274862374,-0.33108954576168514,0.016046169730520872,0.015586345117512493,0.013247272662051267,0.010043084683787501,0.1884230269501345
500040.0,ABREL,FY23,Real Estate Services,250,0.6628676234918961,0.4523705394132941,0.16530696920208007,0.02894111202327358,0.025679301495632363,0.01348205169482395,0.0126987238448508
500042.0,BASF,FY23,Specialty Chemicals,250,0.7198532599345191,0.7013962862550406,0.9437675236314969,0.021860443792052764,0.019883404296656693,0.01092641019650132,0.1747386381262602
500043.0,BATAINDIA,FY23,Footwear & Accessories,250,-0.2866359029671963,-0.21276990015848374,-0.16709567820527976,0.012206803776081618,0.010968873437989956,0.006144473572192716,0.1719249482445724
500049.0,BEL,FY23,Aerospace & Defense,250,0.7322718577398553,0.3299609611374459,0.3101726867931038,0.024606389735506422,0.017008934040886894,0.011581213322536164,0.2440527560458568
500067.0,BLUESTARCO,FY23,Building Products & Equipment,250,0.5595075611282541,0.7920830118312234,0.5073682709811695,0.022205693251753335,0.02182323052194768,0.01163546134414929,0.1589791922883885
500084.0,CESC,FY23,Utilities - Regulated Electric,250,0.6861081353930225,0.3466380091696776,-0.30132120404204926,0.02660398639290728,0.021140168941658193,0.011791664951509667,0.1202510300865657
500085.0,CHAMBLFERT,FY23,Agricultural Inputs,250,0.4261205939341163,0.1363590589745421,-0.02247577848243428,0.02713010913101511,0.02158731565383836,0.012165593755305425,0.1754026575743619
500092.0,CRISIL,FY23,Financial Data & Stock Exchanges,250,-0.22921316437356334,-0.06687998740208957,0.33811063415329073,0.016642546268376045,0.016469526113886017,0.009934882886210297,0.3007591606296191
500093.0,CGPOWER,FY23,Electrical Equipment & Parts,250,0.28020347396773415,0.36423984286519556,0.43078856251795017,0.023786902596918357,0.022862455076921744,0.011377021890382342,0.4729207540166499
