NSE Symbol,BSE Code,Industry,Sector,FY,FY_End,net_income,equity,roe,CG_Filing_Date
APARINDS,532259,Electrical Equipment & Parts,Industrials,FY25,2025-03-31,8213000000.0,45035400000.0,0.18236764856090987,2024-10-19
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY23,2023-03-31,8191000000.0,61974000000.0,0.13216832865395164,2022-10-20
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY24,2024-03-31,8986000000.0,69354000000.0,0.12956714825388585,2023-10-18
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY25,2025-03-31,14459000000.0,82123000000.0,0.17606517053687762,2024-10-17
ASTRAL,532830,Building Products & Equipment,Industrials,FY23,2023-03-31,4566000000.0,27112000000.0,0.168412511065211,2022-10-19
ASTRAL,532830,Building Products & Equipment,Industrials,FY24,2024-03-31,5461000000.0,31881000000.0,0.17129324676139393,2023-10-20
ASTRAL,532830,Building Products & Equipment,Industrials,FY25,2025-03-31,5238000000.0,36170000000.0,0.14481614597732928,2024-10-14
ASTRAZEN,506820,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2023-03-31,992900000.0,5886900000.0,0.16866262379180894,2022-10-18
ASTRAZEN,506820,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2024-03-31,1615100000.0,7119200000.0,0.22686537813237442,2023-10-19
ASTRAZEN,506820,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2025-03-31,1157400000.0,7703500000.0,0.15024339585902513,2024-10-15
ATUL,500027,Specialty Chemicals,Basic Materials,FY23,2023-03-31,5140900000.0,46713800000.0,0.11005099135587343,2022-10-12
ATUL,500027,Specialty Chemicals,Basic Materials,FY24,2024-03-31,3230200000.0,51143400000.0,0.06315966478568105,2023-10-12
ATUL,500027,Specialty Chemicals,Basic Materials,FY25,2025-03-31,4839300000.0,55985500000.0,0.08643845281367497,2024-10-10
AUBANK,540611,Banks - Regional,Financial Services,FY23,2023-03-31,14279253000.0,109773437000.0,0.13007931053484278,2022-10-13
AUBANK,540611,Banks - Regional,Financial Services,FY24,2024-03-31,15347190000.0,125595315000.0,0.12219556119589334,2023-10-16
AUBANK,540611,Banks - Regional,Financial Services,FY25,2025-03-31,21059266000.0,171662817000.0,0.1226780870082075,2024-10-17
AUROPHARMA,524804,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2023-03-31,19275000000.0,268398500000.0,0.07181485738556662,2022-10-21
AUROPHARMA,524804,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2024-03-31,31729700000.0,298428000000.0,0.1063227981288619,2023-10-11
AUROPHARMA,524804,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2025-03-31,34858800000.0,326533200000.0,0.10675422897273538,2024-10-15
DMART,540376,Discount Stores,Consumer Defensive,FY23,2023-03-31,23785100000.0,160787000000.0,0.1479292480113442,2022-10-13
DMART,540376,Discount Stores,Consumer Defensive,FY24,2024-03-31,25361700000.0,186978200000.0,0.1356398767342931,2023-10-12
DMART,540376,Discount Stores,Consumer Defensive,FY25,2025-03-31,27080200000.0,214277500000.0,0.12637911119926265,2024-10-11
ADANIENT,512599,Thermal Coal,Energy,FY23,2023-03-31,24639800000.0,330510100000.0,0.07455082310646483,2022-10-21
ADANIENT,512599,Thermal Coal,Energy,FY24,2024-03-31,32407800000.0,390760900000.0,0.08293511454191041,2023-10-21
ADANIENT,512599,Thermal Coal,Energy,FY25,2025-03-31,70990000000.0,503139700000.0,0.14109401424693777,2024-10-21
ATGL,542066,Utilities - Regulated Gas,Utilities,FY23,2023-03-31,5464900000.0,29409600000.0,0.185820276372341,2022-10-21
ATGL,542066,Utilities - Regulated Gas,Utilities,FY24,2024-03-31,6675000000.0,35803200000.0,0.18643584930955892,2023-10-21
ATGL,542066,Utilities - Regulated Gas,Utilities,FY25,2025-03-31,6544100000.0,42070500000.0,0.15555080163059626,2024-10-19
ABREL,500040,Real Estate Services,Real Estate,FY23,2023-03-31,2718800000.0,38868400000.0,0.06994885305286556,2022-10-18
ABREL,500040,Real Estate Services,Real Estate,FY24,2024-03-31,505300000.0,39791400000.0,0.012698723844850898,2023-10-12
ABREL,500040,Real Estate Services,Real Estate,FY25,2025-03-31,-1612800000.0,38402600000.0,-0.04199715644253254,2024-10-18
AJANTPHARM,532331,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2023-03-31,5879800000.0,33879900000.0,0.17354832806472273,2022-10-04
AJANTPHARM,532331,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2024-03-31,8161700000.0,35673700000.0,0.22878759422207395,2023-10-11
AJANTPHARM,532331,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2025-03-31,9203900000.0,37902900000.0,0.24282838516314056,2024-10-09
AKZOINDIA,500710,Specialty Chemicals,Basic Materials,FY23,2023-03-31,3351000000.0,13163000000.0,0.2545772240370736,2022-10-20
AKZOINDIA,500710,Specialty Chemicals,Basic Materials,FY24,2024-03-31,4266000000.0,13299000000.0,0.320775998195353,2023-10-18
AKZOINDIA,500710,Specialty Chemicals,Basic Materials,FY25,2025-03-31,4295000000.0,13302000000.0,0.3228837768756578,2024-10-18
APLLTD,533573,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2023-03-31,3419900000.0,43704600000.0,0.07825034435734454,2022-10-12
APLLTD,533573,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2024-03-31,6158200000.0,48182000000.0,0.1278112158067328,2023-10-10
APLLTD,533573,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2025-03-31,5834200000.0,51909400000.0,0.11239197524918415,2024-10-17
ARE&M,500008,Electrical Equipment & Parts,Industrials,FY23,2023-03-31,7308300000.0,60070400000.0,0.1216622496271042,2022-10-15
ARE&M,500008,Electrical Equipment & Parts,Industrials,FY24,2024-03-31,9343800000.0,67987300000.0,0.137434491441784,2023-10-17
ARE&M,500008,Electrical Equipment & Parts,Industrials,FY25,2025-03-31,9446700000.0,73891300000.0,0.12784590337428087,2024-10-11
ANANDRATHI,543415,Asset Management,Financial Services,FY23,2023-03-31,1684067000.0,4682319000.0,0.3596651573718066,2022-10-19
