Index,measure,beta_fd,t_fd,p_fd,N,within_firm_sd
TRINDEX,total_vol,-0.0008472902652367615,-1.0464683804800168,0.29534483612825313,448,0.3668427194301318
TRINDEX,idio_vol,-0.0009424459679693482,-1.1864274298921433,0.23545354461127088,448,0.3668427194301318
TRINDEX,downside_vol,-0.0005105060706814098,-0.8033165245577324,0.4217918092631976,448,0.3668427194301318
TRINDEX,max_drawdown,-0.017254808487260347,-0.9003815858731908,0.3679172168192767,448,0.3668427194301318
OINDEX,total_vol,0.3001883639220362,6.931575746129367,4.161785102610469e-12,448,0.005462498272581301
OINDEX,idio_vol,0.20513045142984176,4.702680538309956,2.5676800413317726e-06,448,0.005462498272581301
OINDEX,downside_vol,0.10751708845425856,3.099021290389268,0.001941610670153114,448,0.005462498272581301
OINDEX,max_drawdown,6.519582724574583,7.425656468236193,1.1222191710126272e-13,448,0.005462498272581301
