BSE Code,FY,AINDEX,AINDEX_new_sub,AINDEX_augmented,BINDEX,BINDEX_new_sub,BINDEX_augmented,CINDEX,CINDEX_new_sub,CINDEX_augmented,DINDEX,OINDEX,TRINDEX
500002.0,FY23,0.35912499999999997,0.7904411764705883,0.5747830882352941,0.7625318965517242,0.405,0.5837659482758621,0.47575257305552315,0.515,0.49537628652776156,0.4538461538461539,0.7546666666666666,0.601625
500002.0,FY24,0.2935777777777777,1.0,0.6467888888888889,0.6870077586206897,0.88,0.7835038793103448,0.5175587820360221,0.53,0.5237793910180111,0.4538461538461539,0.7546666666666666,0.445375
500002.0,FY25,0.33819722222222215,0.8038461538461539,0.5710216880341881,0.7207775862068966,0.765,0.7428887931034482,0.5189725959138436,0.53,0.5244862979569218,0.4538461538461539,0.7546666666666666,0.476625
500008.0,FY23,0.5350111111111111,,0.5350111111111111,0.5323956896551725,,0.5323956896551725,0.44529283013469284,,0.44529283013469284,0.4269230769230769,0.7658833333333334,0.83285
500008.0,FY24,0.6495416666666667,0.4645669291338583,0.5570542979002625,0.5907560344827586,,0.5907560344827586,0.5225498046806827,,0.5225498046806827,0.4269230769230769,0.7658833333333334,0.8641
500008.0,FY25,0.6757083333333334,,0.6757083333333334,0.6695086206896552,,0.6695086206896552,0.49775985645775545,,0.49775985645775545,0.4269230769230769,0.7658833333333334,0.8641
500027.0,FY23,0.6660333333333334,0.9705882352941176,0.8183107843137255,0.4268043103448275,,0.4268043103448275,0.4591453351963256,,0.4591453351963256,0.0384615384615384,0.7455,0.60745
500027.0,FY24,0.7284305555555555,,0.7284305555555555,0.40654396551724137,,0.40654396551724137,0.3609580850084096,,0.3609580850084096,0.0384615384615384,0.7455,0.6387
500027.0,FY25,0.7478666666666667,,0.7478666666666667,0.3440560344827586,,0.3440560344827586,0.5050537553545718,,0.5050537553545718,0.0384615384615384,0.7455,0.60745
500033.0,FY23,,,,,,,0.3503940647662032,,0.3503940647662032,,,
500033.0,FY24,0.4969,,0.4969,0.6915827586206897,,0.6915827586206897,0.3792768172461658,,0.3792768172461658,0.4076923076923077,0.5742833333333333,0.85645
500033.0,FY25,0.4960916666666666,0.19230769230769232,0.34419967948717944,0.778569827586207,,0.778569827586207,0.4931191814022563,,0.4931191814022563,0.4076923076923077,0.5742833333333333,0.91456875
500034.0,FY23,0.5387388888888889,0.7169117647058824,0.6278253267973857,0.61975,0.06999999999999995,0.344875,0.3202756402667921,0.515,0.41763782013339606,0.4538461538461539,0.7794500000000001,0.6383000000000001
500034.0,FY24,0.5462777777777779,0.7440944881889764,0.6451861329833771,0.6089525862068965,0.15500000000000003,0.3819762931034483,0.3731103344626129,0.53,0.45155516723130645,0.4538461538461539,0.7794500000000001,0.6070500000000001
500034.0,FY25,0.6160444444444444,0.0,0.3080222222222222,0.6048120689655172,0.35,0.4774060344827586,0.46325027204100294,0.53,0.4966251360205015,0.4538461538461539,0.7794500000000001,0.6695500000000001
500040.0,FY23,,0.49264705882352944,0.49264705882352944,,,,0.29460676460511326,,0.29460676460511326,,,
500040.0,FY24,,0.5118110236220472,0.5118110236220472,,,,0.30963236377102,,0.30963236377102,,,
500040.0,FY25,0.4705333333333333,0.4076923076923077,0.4391128205128205,0.6614448275862069,,0.6614448275862069,0.43497310586296906,,0.43497310586296906,0.0769230769230769,0.7697166666666667,0.521275
500042.0,FY23,0.3585583333333333,0.8161764705882353,0.5873674019607843,0.6621172413793104,,0.6621172413793104,0.3779981563675797,,0.3779981563675797,0.0384615384615384,0.6759499999999999,0.70985
500042.0,FY24,0.4079638888888889,,0.4079638888888889,0.6765534482758621,,0.6765534482758621,0.4240223003982554,,0.4240223003982554,0.0384615384615384,0.6759499999999999,0.6786
500042.0,FY25,0.4156833333333333,,0.4156833333333333,0.7498206896551725,,0.7498206896551725,0.4888884352252976,,0.4888884352252976,0.0384615384615384,0.6759499999999999,0.70985
500043.0,FY23,0.6198416666666667,0.022058823529411766,0.32095024509803927,0.757225,,0.757225,0.3092234747494595,1.0,0.6546117373747298,0.1769230769230769,0.62945,0.8247249999999999
500043.0,FY24,0.6330527777777778,0.047244094488188976,0.3401484361329834,0.7511629310344827,,0.7511629310344827,0.35017063090321754,,0.35017063090321754,0.1769230769230769,0.62945,0.7309749999999999
500043.0,FY25,0.6151805555555555,0.046153846153846156,0.3306672008547008,0.7086612068965518,,0.7086612068965518,0.48290789388291466,,0.48290789388291466,0.1769230769230769,0.62945,0.8247249999999999
500049.0,FY23,0.6180555555555556,0.6139705882352942,0.6160130718954249,0.8620948275862068,0.030000000000000027,0.4460474137931034,0.34667204164620924,0.515,0.4308360208231046,0.5,0.7992166666666667,0.7116875
500049.0,FY24,0.6217222222222222,0.1141732283464567,0.36794772528433944,0.8533870689655172,0.35,0.6016935344827585,0.4021662735223376,0.53,0.4660831367611688,0.5,0.7992166666666667,0.729175
500049.0,FY25,0.5443722222222223,0.1346153846153846,0.3394938034188034,0.7966560344827586,0.06000000000000005,0.4283280172413793,0.48886484849110196,0.53,0.509432424245551,0.5,0.7992166666666667,0.67018125
500067.0,FY23,0.5594222222222223,0.7867647058823529,0.6730934640522876,0.7051543103448277,,0.7051543103448277,0.275,,0.275,0.0769230769230769,0.7695,0.83255
500067.0,FY24,0.610275,0.7637795275590551,0.6870272637795276,0.7378387931034482,,0.7378387931034482,0.3,,0.3,0.0769230769230769,0.7695,0.83255
500067.0,FY25,0.6831027777777778,0.13846153846153847,0.4107821581196581,0.7437491379310345,,0.7437491379310345,0.4329347306801428,,0.4329347306801428,0.0769230769230769,0.7695,0.9263
500084.0,FY23,0.5721888888888889,0.6544117647058824,0.6133003267973856,0.41647413793103444,,0.41647413793103444,0.31488769598085947,,0.31488769598085947,0.0192307692307692,0.78705,0.803875
500084.0,FY24,0.5804444444444444,0.6535433070866141,0.6169938757655293,0.38892844827586204,,0.38892844827586204,0.33808281044222327,,0.33808281044222327,0.0192307692307692,0.78705,0.866375
500084.0,FY25,0.6497277777777779,0.6615384615384615,0.6556331196581198,0.4184474137931034,,0.4184474137931034,0.45579919853891215,,0.45579919853891215,0.0192307692307692,0.78705,0.897625
500085.0,FY23,0.6794194444444444,,0.6794194444444444,0.5953284482758621,,0.5953284482758621,0.33515499684681815,,0.33515499684681815,0.5192307692307693,0.9015,0.8175500000000001
500085.0,FY24,0.664525,,0.664525,0.6211284482758621,,0.6211284482758621,0.33199101950001414,,0.33199101950001414,0.5192307692307693,0.9015,0.7863000000000001
500085.0,FY25,0.6845694444444445,,0.6845694444444445,0.5949017241379311,,0.5949017241379311,0.4021528880411618,,0.4021528880411618,0.5192307692307693,0.9015,0.7238000000000001
500092.0,FY23,0.4744555555555556,0.8051470588235294,0.6398013071895425,0.8693551724137931,0.48,0.6746775862068966,0.29020576001156934,0.515,0.4026028800057847,0.4730769230769231,0.8021166666666667,0.7126250000000001
500092.0,FY24,0.5990027777777778,0.8031496062992126,0.7010761920384951,0.8486318965517241,0.5549999999999999,0.701815948275862,0.37867650234188677,0.53,0.4543382511709434,0.4730769230769231,0.8021166666666667,0.6813750000000001
500092.0,FY25,0.5744583333333333,0.3192307692307692,0.44684455128205125,0.7777879310344827,0.9,0.8388939655172414,0.4722309308507578,0.53,0.5011154654253789,0.4730769230769231,0.8021166666666667,0.6501250000000001
500093.0,FY23,0.45852499999999996,1.0,0.7292624999999999,0.5821724137931035,0.48,0.5310862068965517,0.3131174154474495,0.515,0.4140587077237248,0.0576923076923076,0.7702166666666668,0.578825
500093.0,FY24,0.5591916666666666,0.4881889763779528,0.5236903215223097,0.588573275862069,0.69,0.6392866379310345,0.3342930449731683,0.53,0.43214652248658414,0.0576923076923076,0.7702166666666668,0.516325
500093.0,FY25,0.45894444444444443,0.9115384615384615,0.685241452991453,0.6237454022988506,0.265,0.4443727011494253,0.35301881206632,0.53,0.44150940603316,0.0576923076923076,0.7702166666666668,0.5996583333333333
500106.0,FY23,0.5503916666666666,0.5900735294117647,0.5702325980392157,0.861043103448276,0.17000000000000004,0.515521551724138,0.22474116662308946,0.515,0.36987058331154476,0.4269230769230769,0.3468333333333333,0.72143125
500106.0,FY24,0.6499583333333334,0.47244094488188976,0.5611996391076116,0.8140801724137932,0.24,0.5270400862068966,0.2619569286656404,0.53,0.39597846433282025,0.4269230769230769,0.3468333333333333,0.8553
500106.0,FY25,0.5241638888888889,0.46153846153846156,0.4928511752136752,0.7739956896551724,0.43000000000000005,0.6019978448275862,0.44228423593466293,0.53,0.4861421179673315,0.4269230769230769,0.3468333333333333,0.76335
500113.0,FY23,0.46230277777777773,0.8529411764705882,0.6576219771241829,0.5511077586206896,,0.5511077586206896,0.2583333333333333,,0.2583333333333333,0.0384615384615384,0.7222166666666667,0.60179375
