NSE Symbol,BSE Code,Q_FY,Beta_Market,Momentum,Log_MarketCap,FY,ROE,DE_Ratio
360ONE,542772,Q1FY22,0.4401965866964709,0.18220213181554634,25.370093040198213,FY22,,
360ONE,542772,Q1FY23,0.5490400592061812,0.4200951754399493,25.658246386777712,FY23,0.21074328544659587,2.1721167859831194
360ONE,542772,Q1FY24,0.45188023866148086,0.20112608086952974,25.901960090811478,FY24,0.23312259220286805,2.710693300635122
360ONE,542772,Q1FY25,0.7374577243902222,1.0430300716809644,26.696202525904457,FY25,0.1437143208992301,1.5606486324279412
360ONE,542772,Q1FY26,1.0071492583598136,0.22143967331166295,26.90261443684899,FY26,0.1437143208992301,1.5606486324279412
360ONE,542772,Q2FY22,0.5113310309011134,0.6589203162383049,25.692222421633385,FY22,0.1437143208992301,1.5606486324279412
360ONE,542772,Q2FY23,0.5117866841935707,0.1575448838708248,25.884435935744857,FY23,0.21074328544659587,2.1721167859831194
360ONE,542772,Q2FY24,0.5685691464295475,0.24740119028002985,26.008298282369786,FY24,0.23312259220286805,2.710693300635122
360ONE,542772,Q2FY25,0.7734791146360606,1.1587801142075154,26.757605959093972,FY25,0.1437143208992301,1.5606486324279412
360ONE,542772,Q2FY26,1.0383160733336165,-0.057373696167106004,26.748603283456298,FY26,0.1437143208992301,1.5606486324279412
360ONE,542772,Q3FY22,0.4045939507516571,0.5760271203869192,25.6030554322527,FY22,0.1437143208992301,1.5606486324279412
360ONE,542772,Q3FY23,0.5542763843817482,0.23202167002164872,25.858665805098777,FY23,0.21074328544659587,2.1721167859831194
360ONE,542772,Q3FY24,0.7445826547820803,0.30475521908050784,26.361910365270056,FY24,0.23312259220286805,2.710693300635122
360ONE,542772,Q3FY25,0.7580705284408749,1.0690615327949486,26.945746198127146,FY25,0.1437143208992301,1.5606486324279412
360ONE,542772,Q3FY26,1.1974350972860504,0.10120686059700547,26.90391322584658,FY26,0.1437143208992301,1.5606486324279412
360ONE,542772,Q4FY21,0.37580741990669353,0.21312026489345273,25.432557367618404,FY21,0.1437143208992301,1.5606486324279412
360ONE,542772,Q4FY22,0.5196226891948115,0.3585084337952376,25.76480959659408,FY22,0.1437143208992301,1.5606486324279412
360ONE,542772,Q4FY23,0.47714167109501326,0.19685506888425233,25.83709675310689,FY23,0.21074328544659587,2.1721167859831194
360ONE,542772,Q4FY24,0.6537756079737632,0.7289699000433632,26.319624111795388,FY24,0.23312259220286805,2.710693300635122
360ONE,542772,Q4FY25,0.8508539671790794,0.48233361085047954,26.659709739473186,FY25,0.1437143208992301,1.5606486324279412
360ONE,542772,Q4FY26,1.3298596289531184,0.24138218130640454,26.678245457326625,FY26,0.1437143208992301,1.5606486324279412
3MINDIA,523395,Q1FY22,0.6738091654888311,0.2061946038774537,26.263102617133057,FY22,,
3MINDIA,523395,Q1FY23,0.5631810269550115,-0.20189608771738954,26.155714924299495,FY23,0.268868648889423,0.01594508016356056
3MINDIA,523395,Q1FY24,0.17097424762941002,0.4539607187854059,26.40321766436305,FY24,0.2717480441830778,0.00846698551970247
3MINDIA,523395,Q1FY25,0.5509659363303601,0.43869712020304136,26.71607286399932,FY25,0.25782193298022865,0.05390493750625847
3MINDIA,523395,Q1FY26,0.5548297032392797,-0.02934792031097257,26.47784488068166,FY26,0.25782193298022865,0.05390493750625847
3MINDIA,523395,Q2FY22,0.6282392013790423,0.15448278277739452,26.283481991624804,FY22,0.25782193298022865,0.05390493750625847
3MINDIA,523395,Q2FY23,0.5121313045827502,0.0034737904221048945,26.274331208297003,FY23,0.268868648889423,0.01594508016356056
3MINDIA,523395,Q2FY24,0.1652405151877232,0.47293799051548496,26.57010839663849,FY24,0.2717480441830778,0.00846698551970247
3MINDIA,523395,Q2FY25,0.6142831463564186,0.2460260647975176,26.64940701903075,FY25,0.25782193298022865,0.05390493750625847
3MINDIA,523395,Q2FY26,0.554121537109975,-0.11256696854342091,26.52749674114482,FY26,0.25782193298022865,0.05390493750625847
3MINDIA,523395,Q3FY22,0.5660300034171513,0.18260227774456986,26.3045332630841,FY22,0.25782193298022865,0.05390493750625847
3MINDIA,523395,Q3FY23,0.5192552517053659,-0.037757117008821825,26.195363320190207,FY23,0.268868648889423,0.01594508016356056
3MINDIA,523395,Q3FY24,0.3174486005602973,0.31022099674912496,26.72969667443968,FY24,0.2717480441830778,0.00846698551970247
3MINDIA,523395,Q3FY25,0.5121783297117651,0.0678300428479784,26.54215806306746,FY25,0.25782193298022865,0.05390493750625847
