Family,Portfolio,N_months,ann_alpha,t_alpha,R2,Sharpe,IR,beta_MKT
COMPOSITE,1,34,0.17705444796527625,1.9530512946940193,0.6682377947768663,0.8796549076552194,1.4305628683748046,1.0781719155514642
COMPOSITE,2,34,0.11446176952157475,1.9039743653581678,0.8017061058959961,0.7606344697106138,1.3946152038191113,1.0975331995872215
COMPOSITE,3,34,0.11998076862917807,1.5093009802208286,0.7536956564343407,0.6404431599452624,1.10552648840894,1.2330799244886221
COMPOSITE,4,34,0.03334613567439193,0.785673430194414,0.8539538579883972,0.13409853644126118,0.5754867979956872,0.9212038833232269
COMPOSITE,5,34,0.011646806382407917,0.286983125442087,0.8572296914807104,0.3986835026756639,0.21020820304257193,0.8802204810516828
COMPOSITE,LS,34,-0.1654076415828684,-1.7592151648086651,0.31935637576653886,-0.8390933069316726,-1.288582588227116,-0.19795143449978134
COMPOSITE,LS_tc,34,-0.16813460978256947,-1.78836517309931,0.3186945437098134,-0.8599973246423595,-1.3099342647482115,-0.19870052600340496
AINDEX,1,34,0.1198196752988393,1.6196180740624537,0.7353436482351563,0.5580121860472371,1.1863310932985278,1.0911743279739101
AINDEX,2,34,0.08399222714975836,1.0458039975008786,0.6425290235000658,0.43621910556496124,0.7660261512266544,1.0226839990178054
AINDEX,3,34,0.12404469340162465,1.928020760546249,0.785627723818445,0.6580645270175961,1.4122286070962253,1.095340100488534
AINDEX,4,34,0.08076044716548063,1.368701538064646,0.834330458945681,0.6276527792776966,1.0025407952992473,1.1713785107689787
AINDEX,5,34,0.02026374166788701,0.535856930859433,0.8872301619004571,0.39687514449234546,0.3925022502641887,0.9182487602192259
AINDEX,LS,34,-0.09955593363095228,-1.3499125781634589,0.354167641746835,-0.3874153107862346,-0.9887783362982755,-0.1729255677546843
AINDEX,LS_tc,34,-0.10228290183065336,-1.391405120570207,0.35722670552659785,-0.4131310747508939,-1.0191706207420184,-0.1736746592583079
BINDEX,1,34,0.06783238206013961,0.8984862343846604,0.7293052894451659,0.49776207600931305,0.6581194503946546,1.0914940889972202
BINDEX,2,34,0.05475970565387718,1.0097066956849556,0.8017001810840771,0.3739997093931237,0.7395857501134476,1.0333103274106272
BINDEX,3,34,0.1349383174473438,2.370868545865187,0.788545316351652,0.8465092302383304,1.7366039062706091,0.9607356080800559
BINDEX,4,34,0.06289644516011564,1.5987261220408178,0.9130566215823227,0.49054790887528166,1.1710282433983652,1.0954822109188007
BINDEX,5,34,0.054805788284083855,0.8653026593263491,0.7257779226945265,0.4813620777525896,0.6338132837070124,0.8702508548020877
BINDEX,LS,34,-0.013026593776055768,-0.18162059887465556,0.4447170164806987,-0.1455288934599168,-0.13303269893010286,-0.2212432341951324
BINDEX,LS_tc,34,-0.01575356197575686,-0.2178948153953022,0.43608143531135246,-0.1696568725860163,-0.15960268578851503,-0.221992325698756
CINDEX,1,34,0.15689044176058298,1.6073525645748508,0.5880763824443698,0.7949671493906293,1.177346904054582,0.9801371289365369
CINDEX,2,34,0.08659811288696732,1.383022584917466,0.7837082363903854,0.34625154952700166,1.013030615981151,1.0828333728217039
CINDEX,3,34,0.05895363510463099,1.4701276344276317,0.8971002026180681,0.4529024744908193,1.0768329594299513,1.1285362894252828
CINDEX,4,34,0.03958626487820598,0.6289580160456008,0.7697881517275101,0.5360895908614071,0.4606965449222804,0.9623275292389712
CINDEX,5,34,0.04013208823018037,1.1315529991288662,0.9018787009420391,0.4177187851122721,0.8288352223772554,0.9431950922566491
CINDEX,LS,34,-0.11675835353040259,-1.3467832552944845,0.20774949109498064,-0.7556932708981275,-0.9864861829320669,-0.03694203667988784
CINDEX,LS_tc,34,-0.11948532173010368,-1.378880137970779,0.2115639678127632,-0.7780644238301851,-1.0099963737150914,-0.03769112818351146
