NSE Symbol,FY,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
360ONE,FY23,2022-07-01,2023-03-31,187,0.0008698603785011493,0.17664114328156985,0.45715986020925653,0.6481043636072775,0.011721489921395212,0.6674090736772141,0.5499126147099939,-0.607518967230157,0.3686716572502444,0.0,-0.25268738093627013
3MINDIA,FY23,2022-07-01,2023-03-31,187,0.00010085321063803114,0.01903851500340463,0.06280680602651331,0.9499896501814754,0.009520160123574262,0.1108636697319158,1.0731555183869608,-0.6798676427813872,-1.0538685227035607,0.0,-0.5009361913152555
ABB,FY23,2022-07-01,2023-03-31,187,0.0007537904194581721,0.1513772199825727,0.3825866276878061,0.702475169629358,0.04621524728607529,1.2777624900806674,3.000382692103934,-1.1655682857861314,-2.618540694919176,0.0,-0.9354920833992146
ABREL,FY23,2022-07-01,2023-03-31,187,-0.0008925864427071508,-0.1537273286847019,-0.4519400997320308,0.6518532494764865,0.025691699615410624,0.804237598074371,-0.2058663098627625,-0.8201704455734798,-1.2520213335475245,0.0,-0.5488220156919802
ABSLAMC,FY23,2022-07-01,2023-03-31,187,-0.002306132715006111,-0.35030146611818175,-1.6117684490730986,0.10875468922740249,0.058688536507935596,1.2668117470439098,0.5316675634549259,0.8792434324740817,1.7064004244451496,0.0,0.9136903755944938
ACC,FY23,2022-07-01,2023-03-31,187,0.0004679918733633225,0.09145806898947402,0.20030311940484985,0.8414684027045232,0.030257399419173714,0.698834691395435,-0.8529390682581649,-0.20663443142692522,0.32587615163949346,0.0,1.1428287016645364
ADANIENT,FY23,2022-07-01,2023-03-31,187,0.006291687143444191,2.243151349473476,1.1671247588641538,0.24469529067144233,0.05363337693141823,1.4783905631986602,-5.829261650081243,-2.2608188414533315,0.29214184007760424,0.0,1.2355889190768408
ADANIGREEN,FY23,2022-07-01,2023-03-31,187,0.008149964568833863,3.5907498391161616,2.007089179519976,0.0462281482015194,0.1798838136708386,0.7132470779687204,-9.463473314017445,-4.358156061169328,-0.07349190883042989,0.0,0.8826358181219532
ADANIPOWER,FY23,2022-07-01,2023-03-31,187,0.004251562768444724,1.2145345316720473,1.2984647066509312,0.19577963887215705,0.0941350477261007,1.5519294888630288,-2.422443170141467,-2.9051980897866363,-1.896355617645983,0.0,0.5334648880353301
AFFLE,FY23,2022-07-01,2023-03-31,187,-0.0007521976697910047,-0.13121618945797364,-0.3742764793091505,0.7086367301234537,0.03891733787862006,0.49935474425689197,2.3081558252946897,-0.962321149420951,-4.043470722397537,0.0,-0.44212100184662967
AIAENG,FY23,2022-07-01,2023-03-31,187,0.0011747961781572644,0.24568662674171454,0.6259022106787298,0.5321675451086595,0.018866695189351024,0.5921230936016195,0.2376061146639441,-0.6609851212641566,-1.487719511459868,0.0,-0.7200471872705372
AJANTPHARM,FY23,2022-07-01,2023-03-31,187,-0.00042682395179818205,-0.07671385750507932,-0.2598327762921566,0.7952880858079996,0.00643387409008056,0.5023990142011084,0.1952174907416429,-0.20730628621919925,-0.5150954063528896,0.0,-0.1917515264302684
AKZOINDIA,FY23,2022-07-01,2023-03-31,187,0.0022895391126206343,0.5344067343629191,1.659149795482764,0.09881735403927067,0.015550045601819829,-0.25141774936115335,0.02464203639027862,-0.9064507033686585,-0.4780655200548889,0.0,-0.09808384434019818
ALKEM,FY23,2022-07-01,2023-03-31,187,0.0012537103719621383,0.2642054721026284,1.0176535098444484,0.3102009880381187,0.03297420207599777,-0.17392388010591248,0.3967636857082503,-0.9004470662941805,0.32704903234351423,0.0,-0.32176740175412943
AMBER,FY23,2022-07-01,2023-03-31,187,-0.001545132045589777,-0.25094262220059166,-0.9049483192064333,0.36669573573014025,0.03816952075176905,0.4986491792788096,0.666668234010714,-0.5542627019551162,1.9539806555636718,0.0,-0.3530140468836758
AMBUJACEM,FY23,2022-07-01,2023-03-31,187,0.004768797629938161,1.4394318328443778,1.4675015297807326,0.14397516891862658,0.03763447576449508,-0.2894376394713035,-0.8673262657911064,-1.6480139127306224,-1.5694110147049924,0.0,1.513367491644873
ANANDRATHI,FY23,2022-07-01,2023-03-31,187,0.0006009574422819376,0.11893690402872195,0.49577147573320235,0.6206570797985583,0.04920575550233053,-0.21566970023470322,-0.4280160965364053,-0.29412735542053264,-1.223894799469831,0.0,-0.9250589841524917
