Outcome,N,beta,se,t,p
mar_pct,461,-0.010737790078486001,0.02228405580115299,-0.48185977338696223,0.6303637507081725
capm_alpha,461,-0.01275310641525118,0.020013614876908108,-0.637221536123683,0.5246143265545853
ff5_alpha,461,0.016251171139275503,0.02819141399617176,0.5764581777090827,0.5648692318455589
total_vol,461,-0.0008733834950184447,0.00030414569406451975,-2.871595791302474,0.004465429263646114
idio_vol,461,-0.0008664158360719279,0.00029960073875988385,-2.891901534215909,0.004196316364612896
downside_vol,461,-0.0004457131589297846,0.00017614445047076877,-2.530384339322407,0.012062497391677071
roe,460,0.006194285504076125,0.008307212969439036,0.7456514629953455,0.4566393413011216
